State,CD,Name,Member,Party,Dem08,GOP08,Dem04,GOP04,Dem00,GOP00,Dem,GOP,PVI06,Dem,GOP,PVI0810,,,,,
NC,12,NC12o,Watt,(D),70,29,63,37,57,42,60%,40%,10.79,67%,33%,15.62,,,,,
NC,13,NC13o,"Miller, Brad",(D),59,40,52,47,49,50,51%,49%,1.50,56%,44%,4.85,,,,,
ND,1,ND01o,Berg,(R),45,53,36,63,33,61,36%,64%,13.76,41%,59%,10.10,,,,,
NE,1,NE01o,Fortenberry,(R),44,54,36,63,36,59,37%,63%,12.40,41%,59%,10.61,,,,,
NE,2,NE02o,Terry,(R),50,49,38,60,39,57,40%,60%,9.82,45%,55%,6.54,,,,,
NE,3,NE03o,"Smith, Adrian",(R),30,69,24,75,25,71,25%,75%,24.39,27%,73%,23.94,,,,,
NH,1,NH01o,Guinta,(R),53,47,48,51,46,49,48%,52%,1.06,51%,49%,0.46,,,,,
NH,2,NH02o,"Bass, Charlie",(R),56,43,52,47,48,47,52%,48%,2.03,55%,45%,3.33,,,,,
NJ,1,NJ01o,Andrews,(D),65,34,61,39,63,34,63%,37%,13.43,63%,37%,12.10,,,,,
NJ,2,NJ02o,LoBiondo,(R),54,45,49,50,54,43,53%,47%,3.04,52%,48%,0.81,,,,,
NJ,3,NJ03o,Runyan,(R),52,47,49,51,54,43,52%,48%,2.77,51%,49%,0.46,,,,,
NJ,4,NJ04o,"Smith, Chris",(R),47,52,44,56,50,46,48%,52%,1.55,46%,54%,5.49,,,,,
NJ,5,NJ05o,Garrett,(R),45,54,43,57,45,52,45%,55%,4.84,44%,56%,6.99,,,,,
NJ,6,NJ06o,Pallone,(D),60,39,57,43,61,35,60%,40%,10.69,59%,41%,7.58,,,,,
NJ,7,NJ07o,Lance,(R),51,48,47,53,48,49,48%,52%,1.29,49%,51%,1.97,,,,,
NJ,8,NJ08o,Pascrell,(D),63,36,59,41,60,37,60%,40%,10.89,61%,39%,10.09,,,,,
NJ,9,NJ09o,Rothman,(D),61,38,59,41,63,34,62%,38%,12.42,60%,40%,9.09,,,,,
NJ,10,NJ10o,Payne,(D),87,13,82,18,83,16,83%,17%,33.40,85%,16%,33.29,,,,,
NJ,11,NJ11o,Frelinghuysen,(R),45,54,42,58,43,54,43%,57%,6.37,44%,56%,7.50,,,,,
NJ,12,NJ12o,Holt,(D),58,41,54,46,56,40,56%,44%,6.61,56%,44%,5.07,,,,,
NJ,13,NJ13o,Sires,(D),75,24,69,31,72,25,72%,28%,22.06,72%,28%,21.15,,,,,
NM,1,NM01o,Heinrich,(D),60,40,51,48,48,47,51%,49%,1.52,56%,44%,4.56,,,,,
NM,2,NM02o,Pearce,(R),49,50,41,58,43,54,43%,57%,6.66,45%,55%,5.76,,,,,
NM,3,NM03o,Lujan,(D),61,38,54,45,52,43,55%,45%,5.13,58%,42%,6.87,,,,,
NV,1,NV01o,Berkley,(D),64,34,57,42,56,41,58%,42%,8.14,61%,39%,10.21,,,,,
NV,2,NV02o,Amodei,(R),49,49,41,57,37,57,41%,59%,8.89,46%,54%,5.30,,,,,
NV,3,NV03o,Heck,(R),55,43,49,50,49,48,50%,50%,0.49,53%,47%,1.58,,,,,
NY,1,NY01o,"Bishop, Tim",(D),52,48,49,49,52,44,52%,48%,2.55,51%,49%,0.20,,,,,
NY,2,NY02o,Israel,(D),56,43,53,45,57,39,57%,43%,7.19,55%,45%,4.12,,,,,
NY,3,NY03o,"King, Peter",(R),47,52,47,52,52,44,51%,49%,1.26,47%,53%,3.74,,,,,
NY,4,NY04o,"McCarthy, Carolyn",(D),58,41,55,44,59,38,58%,42%,8.65,57%,43%,5.86,,,,,
NY,5,NY05o,Ackerman,(D),63,36,63,36,67,30,66%,34%,16.81,64%,36%,12.42,,,,,
NY,6,NY06o,Meeks,(D),89,11,84,15,87,11,87%,13%,37.29,87%,13%,35.72,,,,,
NY,7,NY07o,Crowley,(D),79,20,74,25,75,21,76%,24%,26.90,77%,23%,26.06,,,,,
NY,8,NY08o,Nadler,(D),74,26,72,27,74,18,76%,24%,26.93,73%,27%,22.15,,,,,
NY,9,NY09o,Turner,(R),55,44,56,44,67,30,62%,38%,12.92,56%,44%,4.56,,,,,
NY,10,NY10o,Towns,(D),91,9,86,13,88,8,89%,11%,39.72,89%,11%,37.73,,,,,
NY,11,NY11o,"Clarke, Yvette",(D),91,9,86,13,83,9,88%,12%,38.97,89%,11%,37.73,,,,,
NY,12,NY12o,Velazquez,(D),86,13,80,19,77,15,82%,18%,32.69,84%,16%,32.62,,,,,
NY,13,NY13o,Grimm,(R),49,51,45,55,52,44,49%,51%,0.02,47%,53%,4.21,,,,,
NY,14,NY14o,Maloney,(D),78,21,74,25,70,23,75%,25%,25.49,77%,23%,25.55,,,,,
NY,15,NY15o,Rangel,(D),93,6,90,9,87,7,92%,8%,42.20,92%,8%,41.21,,,,,
NY,16,NY16o,Serrano,(D),95,5,89,10,92,5,92%,8%,42.83,92%,8%,41.25,,,,,
NY,17,NY17o,Engel,(D),72,28,67,33,69,27,69%,31%,19.87,70%,31%,18.29,,,,,
NY,18,NY18o,Lowey,(D),62,38,58,42,58,39,59%,41%,9.37,60%,40%,8.79,,,,,
NY,19,NY19o,Hayworth,(R),51,48,45,54,47,49,47%,53%,2.33,48%,52%,2.73,,,,,
NY,20,NY20o,Gibson,(R),51,48,46,54,44,51,46%,54%,3.36,49%,51%,2.47,,,,,
NY,21,NY21o,Tonko,(D),58,40,55,43,56,39,58%,42%,8.00,58%,42%,6.44,,,,,
NY,22,NY22o,Hinchey,(D),59,39,54,45,51,42,55%,45%,5.17,57%,43%,6.15,,,,,
NY,23,NY23o,Owens,(D),52,47,47,51,47,49,48%,52%,1.06,50%,50%,0.96,,,,,
NY,24,NY24o,Hannah,(R),51,48,47,53,47,48,48%,52%,1.31,49%,51%,1.97,,,,,
NY,25,NY25o,Buerkle,(R),56,43,50,48,51,45,52%,48%,2.55,54%,46%,2.59,,,,,
NY,26,NY26o,Hochul,(D),46,52,43,55,44,51,45%,55%,4.44,45%,55%,5.81,,,,,
NY,27,NY27o,Higgins,(D),54,44,53,45,53,41,55%,45%,5.69,55%,45%,3.38,,,,,
NY,28,NY28o,Slaughter,(D),69,30,63,36,60,35,63%,37%,13.89,67%,33%,15.45,,,,,
NY,29,NY29o,Reed,(R),48,51,42,56,43,53,44%,56%,5.70,46%,54%,5.53,,,,,
OH,1,OH01o,Chabot,(R),55,44,49,51,46,51,48%,52%,1.29,52%,48%,1.05,,,,,
OH,2,OH02o,Schmidt,(R),40,59,36,64,34,63,36%,64%,13.98,38%,62%,13.02,,,,,
OH,3,OH03o,Turner,(R),47,51,46,54,45,52,46%,54%,3.32,47%,53%,4.24,,,,,
OH,4,OH04o,Jordan,(R),38,60,34,65,35,62,35%,65%,14.31,37%,63%,14.67,,,,,
OH,5,OH05o,Latta,(R),45,53,39,61,37,59,39%,61%,10.74,42%,58%,8.79,,,,,
OH,6,OH06o,"Johnson, Bill",(R),48,50,49,51,47,49,49%,51%,0.53,49%,51%,2.22,,,,,
OH,7,OH07o,Austria,(R),45,54,43,57,42,56,43%,57%,6.58,44%,56%,6.99,,,,,
OH,8,OH08o,Boehner,(R),38,60,35,64,36,61,36%,64%,13.29,37%,63%,14.16,,,,,
OH,9,OH09o,Kaptur,(D),62,36,58,42,55,41,58%,42%,8.14,61%,39%,9.39,,,,,
OH,10,OH10o,Kucinich,(D),59,39,58,41,53,42,57%,43%,7.70,59%,41%,8.18,,,,,
OH,11,OH11o,Fudge,(D),85,14,81,18,79,18,82%,18%,32.12,84%,16%,32.62,,,,,
OH,12,OH12o,Tiberi,(R),53,46,49,51,46,52,48%,52%,1.53,51%,49%,0.04,,,,,
OH,13,OH13o,Sutton,(D),57,42,56,44,53,44,55%,45%,5.82,57%,43%,5.57,,,,,
OH,14,OH14o,LaTourette,(R),49,49,47,53,44,52,46%,54%,3.08,48%,52%,2.73,,,,,
OH,15,OH15o,Stivers,(R),54,45,50,50,44,52,48%,52%,1.55,52%,48%,1.05,,,,,
OH,16,OH16o,Renacci,(R),48,50,46,54,42,53,45%,55%,4.39,47%,53%,3.74,,,,,
OH,17,OH17o,"Ryan, Tim",(D),62,36,63,37,60,35,63%,37%,13.56,63%,37%,11.92,,,,,
OH,18,OH18o,Gibbs,(R),45,52,43,57,41,55,43%,57%,6.66,45%,55%,6.54,,,,,
OK,1,OK01o,Sullivan,(R),36,64,35,65,37,62,36%,64%,13.33,36%,65%,15.71,,,,,
OK,2,OK02o,Boren,(D),34,66,41,59,47,52,44%,56%,5.29,38%,63%,13.71,,,,,
OK,3,OK03o,Lucas,(R),27,73,28,72,34,65,31%,69%,18.36,28%,73%,23.71,,,,,
OK,4,OK04o,Cole,(R),34,66,33,67,38,61,36%,64%,13.84,34%,67%,17.71,,,,,
OK,5,OK05o,Lankford,(R),41,59,36,64,38,62,37%,63%,12.51,39%,62%,12.71,,,,,
OR,1,OR01o,,(D),61,36,55,44,50,44,54%,46%,4.89,59%,41%,7.97,,,,,
OR,2,OR02o,Walden,(R),43,54,38,61,35,60,38%,62%,11.88,41%,59%,9.89,,,,,
OR,3,OR03o,Blumenauer,(D),71,26,67,33,61,32,66%,34%,16.81,70%,30%,18.84,,,,,
OR,4,OR04o,DeFazio,(D),54,43,49,49,44,49,49%,51%,0.82,53%,47%,1.61,,,,,
OR,5,OR05o,Schrader,(D),54,43,49,50,47,48,49%,51%,0.03,53%,47%,1.34,,,,,
PA,1,PA01o,"Brady, Bob",(D),88,12,84,15,84,15,85%,15%,35.33,86%,14%,35.22,,,,,
PA,2,PA02o,Fattah,(D),90,10,87,12,87,12,88%,12%,38.37,89%,11%,37.73,,,,,
PA,3,PA03o,Kelly,(R),49,49,47,53,47,51,47%,53%,2.04,48%,52%,2.73,,,,,
PA,4,PA04o,Altmire,(D),44,55,45,54,46,52,46%,54%,3.32,45%,55%,6.27,,,,,
PA,5,PA05o,"Thompson, Glenn",(R),44,55,39,61,38,59,39%,61%,10.43,42%,58%,9.51,,,,,
PA,6,PA06o,Gerlach,(R),58,41,52,48,49,49,51%,49%,1.50,55%,45%,4.06,,,,,
PA,7,PA07o,Meehan,(R),56,43,53,47,51,47,53%,47%,3.01,55%,45%,3.56,,,,,
PA,8,PA08o,Fitzpatrick,(R),54,45,51,48,51,46,52%,48%,2.53,53%,47%,1.82,,,,,
PA,9,PA09o,Schuster,(R),35,63,33,67,34,64,34%,66%,15.68,34%,66%,16.87,,,,,
PA,10,PA10o,Marino,(R),45,54,40,60,41,56,41%,59%,8.40,43%,57%,8.50,,,,,
PA,11,PA11o,Barletta,(R),57,42,53,47,54,43,54%,46%,4.80,55%,45%,4.06,,,,,
PA,12,PA12o,Critz,(D),49,50,51,49,55,44,53%,47%,3.75,50%,50%,0.96,,,,,
PA,13,PA13o,Schwarz,(D),59,41,56,43,56,42,57%,43%,7.34,58%,42%,6.57,,,,,
PA,14,PA14o,Doyle,(D),70,29,69,30,70,28,71%,29%,21.04,70%,30%,18.99,,,,,
PA,15,PA15o,Dent,(R),56,43,50,50,49,48,50%,50%,0.74,53%,47%,2.05,,,,,
PA,16,PA16o,Pitts,(R),48,51,38,61,36,62,38%,62%,11.95,43%,57%,7.78,,,,,
PA,17,PA17o,Holden,(D),48,51,42,58,41,56,42%,58%,7.38,45%,55%,5.99,,,,,
PA,18,PA18o,"Murphy, Tim",(R),44,55,46,54,47,52,47%,53%,2.78,45%,55%,5.99,,,,,
PA,19,PA19o,Platts,(R),43,56,36,64,36,61,37%,63%,12.97,40%,60%,11.52,,,,,
RI,1,RI01o,Cicilline,(D),65,33,62,36,63,31,65%,35%,15.59,65%,35%,13.58,,,,,
RI,2,RI02o,Langevin,(D),61,37,57,41,60,33,61%,39%,11.74,60%,40%,8.99,,,,,
SC,1,SC01o,"Scott, Tim",(R),42,57,39,61,38,59,39%,61%,10.43,41%,59%,10.51,,,,,
SC,2,SC02o,"Wilson, Joe",(R),45,54,39,60,39,58,40%,60%,9.72,42%,58%,8.79,,,,,
SC,3,SC03o,"Duncan, Jeff",(R),35,64,34,66,35,63,35%,65%,14.67,35%,65%,16.54,,,,,
SC,4,SC04o,Gowdy,(R),38,60,34,65,33,64,34%,66%,15.33,37%,63%,14.67,,,,,
SC,5,SC05o,Mulvaney,(R),46,53,42,57,43,55,43%,57%,6.37,44%,56%,6.77,,,,,
SC,6,SC06o,Clyburn,(D),64,35,61,39,58,40,60%,40%,10.59,63%,37%,11.60,,,,,
SD,1,SD01o,Noem,(R),45,53,38,60,38,60,39%,61%,10.74,42%,58%,8.87,,,,,
TN,1,TN01o,Roe,(R),29,70,31,68,38,61,35%,65%,14.67,30%,70%,20.91,,,,,
TN,2,TN02o,"Duncan, John",(R),34,64,35,64,39,59,38%,62%,11.95,35%,65%,16.19,,,,,
TN,3,TN03o,Fleischmann,(R),37,62,38,61,41,57,40%,60%,9.41,38%,62%,13.34,,,,,
TN,4,TN04o,DesJarlais,(R),34,64,41,58,49,50,45%,55%,4.06,38%,62%,13.14,,,,,
TN,5,TN05o,Cooper,(D),56,43,52,48,57,42,55%,45%,5.26,54%,46%,3.06,,,,,
TN,6,TN06o,Black,(R),37,62,40,60,49,49,45%,55%,4.56,39%,61%,12.52,,,,,
TN,7,TN07o,Blackburn,(R),34,65,33,66,40,59,37%,63%,12.64,34%,66%,17.38,,,,,
TN,8,TN08o,Fincher,(R),43,56,47,53,51,48,49%,51%,0.27,45%,55%,5.99,,,,,
TN,9,TN09o,Cohen,(D),77,22,70,30,63,36,67%,33%,17.32,74%,26%,22.65,,,,,
TX,1,TX01o,Gohmert,(R),31,69,31,69,33,68,32%,68%,17.67,31%,69%,20.21,,,,,
TX,2,TX02o,Poe,(R),40,60,37,63,37,63,37%,63%,12.51,39%,62%,12.71,,,,,
TX,3,TX03o,"Johnson, Sam",(R),42,57,33,67,30,70,32%,69%,18.01,38%,62%,13.53,,,,,
TX,4,TX04o,Hall,(R),30,69,30,70,34,66,32%,68%,17.51,30%,70%,21.06,,,,,
TX,5,TX05o,Hensarling,(R),36,63,33,67,34,66,34%,67%,16.01,35%,65%,16.54,,,,,
TX,6,TX06o,Barton,(R),40,60,34,66,34,66,34%,66%,15.51,37%,63%,14.21,,,,,
TX,7,TX07o,Culberson,(R),41,58,36,64,31,69,34%,67%,16.01,39%,61%,12.52,,,,,
TX,8,TX08o,"Brady, Kevin",(R),26,74,28,72,31,69,30%,71%,20.01,27%,73%,24.21,,,,,
TX,9,TX09o,"Green, Al",(D),77,23,70,30,69,31,70%,31%,19.99,74%,27%,22.29,,,,,
TX,10,TX10o,McCaul,(R),44,55,38,62,34,67,36%,64%,13.69,41%,59%,10.01,,,,,
TX,11,TX11o,Conaway,(R),24,76,22,78,25,75,24%,77%,26.01,23%,77%,28.21,,,,,
TX,12,TX12o,Granger,(R),36,63,33,67,36,64,35%,66%,15.01,35%,65%,16.54,,,,,
TX,13,TX13o,Thornberry,(R),23,77,22,78,26,74,24%,76%,25.51,23%,78%,28.71,,,,,
TX,14,TX14o,Paul,(R),33,66,33,67,36,64,35%,66%,15.01,33%,67%,18.05,,,,,
TX,15,TX15o,Hinojosa,(D),60,40,49,51,54,46,52%,49%,1.99,55%,46%,3.29,,,,,
TX,16,TX16o,Reyes,(D),66,34,57,44,59,41,58%,42%,8.20,61%,39%,9.98,,,,,
TX,17,TX17o,Flores,(R),32,67,30,70,32,68,31%,69%,18.51,31%,69%,20.06,,,,,
TX,18,TX18o,Jackson-Lee,(D),77,22,72,28,72,28,72%,28%,22.49,75%,25%,23.66,,,,,
TX,19,TX19o,Neugebauer,(R),27,72,23,77,25,75,24%,76%,25.51,25%,75%,26.09,,,,,
TX,20,TX20o,Gonzalez,(D),63,36,55,45,58,42,57%,44%,6.99,59%,41%,8.08,,,,,
TX,21,TX21o,"Smith, Lamar",(R),41,58,34,66,31,69,33%,68%,17.01,38%,62%,13.53,,,,,
TX,22,TX22o,Olson,(R),41,58,36,64,33,67,35%,66%,15.01,39%,61%,12.52,,,,,
TX,23,TX23o,Canseco,(R),51,48,43,57,47,54,45%,55%,4.74,47%,53%,3.98,,,,,
TX,24,TX24o,Marchant,(R),44,55,35,65,32,68,34%,67%,16.01,40%,60%,11.52,,,,,
TX,25,TX25o,Doggett,(D),59,40,54,46,47,53,51%,50%,0.99,57%,43%,5.57,,,,,
TX,26,TX26o,Burgess,(R),41,58,35,65,38,62,37%,64%,13.01,38%,62%,13.02,,,,,
TX,27,TX27o,Farenthold,(R),53,46,45,55,50,50,48%,53%,2.01,49%,51%,1.97,,,,,
TX,28,TX28o,Cuellar,(D),56,44,46,54,50,50,48%,52%,1.51,51%,49%,0.21,,,,,
TX,29,TX29o,"Green, Gene",(D),62,38,56,44,57,43,57%,44%,6.99,59%,41%,7.79,,,,,
TX,30,TX30o,"Johnson, E.B.",(D),82,18,75,25,74,26,75%,26%,24.99,79%,22%,27.29,,,,,
TX,31,TX31o,Carter,(R),42,58,33,67,32,69,32%,68%,17.18,38%,63%,13.71,,,,,
TX,32,TX32o,Sessions,(R),46,53,40,60,36,64,38%,62%,11.51,43%,57%,8.00,,,,,
UT,1,UT01o,"Bishop, Rob",(R),33,64,25,73,27,68,27%,73%,22.57,30%,70%,21.47,,,,,
UT,2,UT02o,Matheson,(D),39,57,31,66,31,67,32%,68%,17.72,36%,64%,14.95,,,,,
UT,3,UT03o,Chaffetz,(R),29,67,20,77,24,75,22%,78%,27.06,25%,75%,25.83,,,,,
VA,1,VA01o,Wittman,(R),48,51,39,60,39,58,40%,60%,9.72,44%,56%,7.28,,,,,
VA,2,VA02o,Rigell,(R),51,49,42,58,43,55,43%,57%,6.58,47%,54%,4.71,,,,,
VA,3,VA03o,"Scott, Bobby",(D),76,24,66,33,66,32,67%,33%,17.49,71%,29%,20.14,,,,,
VA,4,VA04o,Forbes,(R),50,49,43,57,44,54,44%,56%,5.57,47%,53%,4.48,,,,,
VA,5,VA05o,Hurt,(R),48,51,43,56,41,55,43%,57%,6.44,46%,54%,5.25,,,,,
VA,6,VA06o,Goodlatte,(R),42,57,36,63,37,60,37%,63%,12.27,39%,61%,11.82,,,,,
VA,7,VA07o,Cantor,(R),46,53,38,61,37,61,38%,62%,11.44,42%,58%,8.79,,,,,
VA,8,VA08o,Moran,(D),69,30,64,35,57,38,62%,38%,12.86,67%,33%,15.96,,,,,
VA,9,VA09o,Griffith,(R),40,59,39,60,42,55,41%,59%,8.19,40%,60%,11.32,,,,,
VA,10,VA10o,Wolf,(R),53,46,44,55,41,56,43%,57%,6.15,49%,51%,2.22,,,,,
VA,11,VA11o,Connolly,(D),57,42,49,50,45,52,48%,52%,1.55,54%,46%,2.32,,,,,
VT,1,VT01o,Welch,(D),68,31,59,39,51,41,58%,42%,8.38,64%,36%,13.25,,,,,
WA,1,WA01o,Inslee,(D),62,36,56,42,53,42,56%,44%,6.96,60%,40%,8.99,,,,,
WA,2,WA02o,Larsen,(D),56,42,51,47,48,46,52%,48%,2.05,55%,45%,3.38,,,,,
WA,3,WA03o,Herrera Beutler,(R),52,46,48,50,46,48,49%,51%,0.56,51%,49%,0.19,,,,,
WA,4,WA04o,"Hastings, Doc",(R),40,58,35,63,34,62,36%,64%,13.95,38%,62%,12.95,,,,,
WA,5,WA05o,McMorris Rodgers,(R),46,52,41,57,40,56,42%,58%,7.76,44%,56%,6.83,,,,,
WA,6,WA06o,Dicks,(D),57,41,53,45,52,43,54%,46%,4.89,56%,44%,4.91,,,,,
WA,7,WA07o,McDermott,(D),84,15,79,19,72,21,79%,21%,29.54,83%,17%,31.53,,,,,
WA,8,WA08o,Reichert,(R),57,42,51,48,49,47,51%,49%,1.77,55%,45%,3.33,,,,,
WA,9,WA09o,"Smith, Adam",(D),59,40,53,46,53,43,54%,46%,4.85,57%,43%,5.35,,,,,
WI,1,WI01o,"Ryan, Paul",(R),51,48,46,54,45,51,46%,54%,3.08,49%,51%,2.47,,,,,
WI,2,WI02o,Baldwin,(D),69,30,62,37,58,36,62%,38%,12.66,66%,34%,14.95,,,,,
WI,3,WI03o,Kind,(D),58,41,51,48,49,46,52%,48%,2.03,55%,45%,3.84,,,,,
WI,4,WI04o,Moore,(D),75,24,70,30,66,30,69%,31%,19.87,73%,27%,21.65,,,,,
WI,5,WI05o,Sensenbrenner,(R),41,58,36,63,35,62,36%,64%,13.29,39%,61%,12.33,,,,,
WI,6,WI06o,Petri,(R),50,49,43,56,42,53,44%,56%,5.70,47%,53%,4.24,,,,,
WI,7,WI07o,Duffy,(R),56,43,50,49,48,47,51%,49%,1.00,54%,46%,2.32,,,,,
WI,8,WI08o,Ribble,(R),54,45,44,55,43,52,45%,55%,4.67,49%,51%,1.72,,,,,
WV,1,WV01o,McKinley,(R),42,57,42,58,43,54,43%,57%,6.37,42%,58%,9.00,,,,,
WV,2,WV02o,Capito,(R),44,55,42,57,44,54,44%,56%,5.86,43%,57%,7.78,,,,,
WV,3,WV03o,Rahall,(D),42,56,46,53,51,47,49%,51%,0.27,45%,55%,6.54,,,,,
WY,1,WY01o,Lummis,(R),33,65,29,69,28,69,29%,71%,20.28,32%,68%,19.58,,,,,
