Pollster,Date,Polled,Model,R,D,Gap,538 Grade,Mean-Reverted Bias,Grade,Adjusted R,Adjusted D,Adjusted Gap
Rasmussen Reports/Pulse Opinion Research, 6/28/2010,3500,LV,41,39,2,C+,-1.49,2.3,40.26,39.74,0.51
Rasmussen Reports/Pulse Opinion Research, 6/21/2010,3500,LV,39,41,-2,C+,-1.49,2.3,38.26,41.74,-3.49
Rasmussen Reports/Pulse Opinion Research, 6/14/2010,3500,LV,39,39,0,C+,-1.49,2.3,38.26,39.74,-1.49
Diageo/Hotline, 6/7/2010,800,RV,30,39,-9,C,0,2,30,39,-9
Rasmussen Reports/Pulse Opinion Research, 6/7/2010,3500,LV,40,40,0,C+,-1.49,2.3,39.26,40.74,-1.49
Quinnipiac University, 6/1/2010,3097,RV,32,42,-10,A-,0.07,3.7,32.03,41.97,-9.93
Rasmussen Reports/Pulse Opinion Research, 5/31/2010,3500,LV,37,38,-1,C+,-1.49,2.3,36.26,38.74,-2.49
Rasmussen Reports/Pulse Opinion Research, 5/24/2010,3500,LV,38,41,-3,C+,-1.49,2.3,37.26,41.74,-4.49
Rasmussen Reports/Pulse Opinion Research, 5/17/2010,3500,LV,39,40,-1,C+,-1.49,2.3,38.26,40.74,-2.49
Rasmussen Reports/Pulse Opinion Research, 5/10/2010,3500,LV,40,39,1,C+,-1.49,2.3,39.26,39.74,-0.49
Rasmussen Reports/Pulse Opinion Research, 5/3/2010,3500,LV,40,39,1,C+,-1.49,2.3,39.26,39.74,-0.49
Quinnipiac University, 4/27/2010,2041,RV,34,41,-7,A-,0.07,3.7,34.03,40.97,-6.93
Diageo/Hotline, 4/26/2010,800,RV,31,39,-8,C,0,2,31,39,-8
Rasmussen Reports/Pulse Opinion Research, 4/26/2010,3500,LV,41,38,3,C+,-1.49,2.3,40.26,38.74,1.51
Rasmussen Reports/Pulse Opinion Research, 4/19/2010,3500,LV,39,39,0,C+,-1.49,2.3,38.26,39.74,-1.49
Rasmussen Reports/Pulse Opinion Research, 4/12/2010,3500,LV,38,38,0,C+,-1.49,2.3,37.26,38.74,-1.49
Rasmussen Reports/Pulse Opinion Research, 4/5/2010,3500,LV,39,40,-1,C+,-1.49,2.3,38.26,40.74,-2.49
Diageo/Hotline, 3/29/2010,800,RV,32,37,-5,C,0,2,32,37,-5
Rasmussen Reports/Pulse Opinion Research, 3/29/2010,3500,LV,38,42,-4,C+,-1.49,2.3,37.26,42.74,-5.49
Rasmussen Reports/Pulse Opinion Research, 3/22/2010,3500,LV,38,41,-3,C+,-1.49,2.3,37.26,41.74,-4.49
NPR, 3/14/2010,800,LV,42,42,0,B-,0.09,2.7,42.04,41.96,0.09
Rasmussen Reports/Pulse Opinion Research, 3/15/2010,3500,LV,41,39,2,C+,-1.49,2.3,40.26,39.74,0.51
Rasmussen Reports/Pulse Opinion Research, 3/8/2010,3500,LV,38,42,-4,C+,-1.49,2.3,37.26,42.74,-5.49
Diageo/Hotline, 3/2/2010,803,RV,34,40,-6,C,0,2,34,40,-6
Rasmussen Reports/Pulse Opinion Research, 3/1/2010,3500,LV,39,41,-2,C+,-1.49,2.3,38.26,41.74,-3.49
Rasmussen Reports/Pulse Opinion Research, 2/22/2010,3500,LV,37,41,-4,C+,-1.49,2.3,36.26,41.74,-5.49
Rasmussen Reports/Pulse Opinion Research, 2/15/2010,3500,LV,39,41,-2,C+,-1.49,2.3,38.26,41.74,-3.49
Rasmussen Reports/Pulse Opinion Research, 2/8/2010,3500,LV,39,40,-1,C+,-1.49,2.3,38.26,40.74,-2.49
Rasmussen Reports/Pulse Opinion Research, 2/1/2010,3500,LV,38,42,-4,C+,-1.49,2.3,37.26,42.74,-5.49
Rasmussen Reports/Pulse Opinion Research, 1/25/2010,3500,LV,35,42,-7,C+,-1.49,2.3,34.26,42.74,-8.49
Diageo/Hotline, 1/24/2010,800,RV,22,46,-24,C,0,2,22,46,-24
George Washington University (Battleground), 11/5/2012,1000,LV,47,46,1,B,-0.98,3,46.51,46.49,0.02
CNN/Opinion Research Corp., 11/4/2012,693,LV,49,48,1,B+,0.06,3.3,49.03,47.97,1.06
Gallup, 11/4/2012,2551,LV,48,49,-1,B,-0.9,3,47.55,49.45,-1.9
Rasmussen Reports/Pulse Opinion Research, 11/4/2012,3500,LV,46,46,0,C+,-1.49,2.3,45.26,46.74,-1.49
George Washington University (Battleground), 11/1/2012,1000,LV,46,46,0,B,-0.98,3,45.51,46.49,-0.98
CBS News/New York Times, 10/28/2012,563,LV,46,48,-2,A-,0.44,3.7,46.22,47.78,-1.56
Rasmussen Reports/Pulse Opinion Research, 10/28/2012,3500,LV,46,43,3,C+,-1.49,2.3,45.26,43.74,1.51
NPR, 10/25/2012,1000,LV,43,43,0,B-,0.09,2.7,43.04,42.96,0.09
George Washington University (Battleground), 10/25/2012,1000,LV,46,45,1,B,-0.98,3,45.51,45.49,0.02
Rasmussen Reports/Pulse Opinion Research, 10/21/2012,3500,LV,44,43,1,C+,-1.49,2.3,43.26,43.74,-0.49
George Washington University (Battleground), 10/18/2012,1000,LV,46,46,0,B,-0.98,3,45.51,46.49,-0.98
Rasmussen Reports/Pulse Opinion Research, 10/14/2012,3500,LV,42,43,-1,C+,-1.49,2.3,41.26,43.74,-2.49
George Washington University (Battleground), 10/11/2012,1000,LV,44,46,-2,B,-0.98,3,43.51,46.49,-2.98
Rasmussen Reports/Pulse Opinion Research, 10/7/2012,3500,LV,43,44,-1,C+,-1.49,2.3,42.26,44.74,-2.49
George Washington University (Battleground), 10/4/2012,1000,LV,45,46,-1,B,-0.98,3,44.51,46.49,-1.98
NPR, 9/30/2012,800,LV,45,48,-3,B-,0.09,2.7,45.04,47.96,-2.91
Rasmussen Reports/Pulse Opinion Research, 9/30/2012,3500,LV,45,41,4,C+,-1.49,2.3,44.26,41.74,2.51
Gallup, 9/27/2012,1301,RV,46,47,-1,B,-0.9,3,45.55,47.45,-1.9
George Washington University (Battleground), 9/27/2012,1000,LV,44,46,-2,B,-0.98,3,43.51,46.49,-2.98
Bloomberg, 9/24/2012,789,LV,45,43,2,C,0,2,45,43,2
Rasmussen Reports/Pulse Opinion Research, 9/23/2012,3500,LV,44,43,1,C+,-1.49,2.3,43.26,43.74,-0.49
George Washington University (Battleground), 9/20/2012,1000,LV,45,47,-2,B,-0.98,3,44.51,47.49,-2.98
Rasmussen Reports/Pulse Opinion Research, 9/16/2012,3500,LV,44,43,1,C+,-1.49,2.3,43.26,43.74,-0.49
Ipsos, 9/10/2012,942,RV,43,49,-6,B+,0.6,3.3,43.3,48.7,-5.4
Rasmussen Reports/Pulse Opinion Research, 9/9/2012,3500,LV,42,44,-2,C+,-1.49,2.3,41.26,44.74,-3.49
Rasmussen Reports/Pulse Opinion Research, 9/2/2012,3500,LV,43,42,1,C+,-1.49,2.3,42.26,42.74,-0.49
Rasmussen Reports/Pulse Opinion Research, 8/26/2012,3500,LV,42,42,0,C+,-1.49,2.3,41.26,42.74,-1.49
Gallup, 8/22/2012,955,RV,47,47,0,B,-0.9,3,46.55,47.45,-0.9
Rasmussen Reports/Pulse Opinion Research, 8/19/2012,3500,LV,42,41,1,C+,-1.49,2.3,41.26,41.74,-0.49
Rasmussen Reports/Pulse Opinion Research, 8/12/2012,3500,LV,42,39,3,C+,-1.49,2.3,41.26,39.74,1.51
George Washington University (Battleground), 8/9/2012,1000,LV,45,43,2,B,-0.98,3,44.51,43.49,1.02
Ipsos, 8/6/2012,1014,RV,46,46,0,B+,0.6,3.3,46.3,45.7,0.6
Rasmussen Reports/Pulse Opinion Research, 8/5/2012,3500,LV,42,39,3,C+,-1.49,2.3,41.26,39.74,1.51
Rasmussen Reports/Pulse Opinion Research, 7/29/2012,3500,LV,43,40,3,C+,-1.49,2.3,42.26,40.74,1.51
Rasmussen Reports/Pulse Opinion Research, 7/22/2012,3500,LV,43,40,3,C+,-1.49,2.3,42.26,40.74,1.51
Rasmussen Reports/Pulse Opinion Research, 7/15/2012,3500,LV,43,40,3,C+,-1.49,2.3,42.26,40.74,1.51
Ipsos, 7/9/2012,885,RV,48,44,4,B+,0.6,3.3,48.3,43.7,4.6
Rasmussen Reports/Pulse Opinion Research, 7/8/2012,3500,LV,43,40,3,C+,-1.49,2.3,42.26,40.74,1.51
Quinnipiac University, 7/8/2012,2722,RV,40,43,-3,A-,0.07,3.7,40.03,42.97,-2.93
Rasmussen Reports/Pulse Opinion Research, 7/1/2012,3500,LV,41,40,1,C+,-1.49,2.3,40.26,40.74,-0.49
Newsweek/Daily Beast, 6/28/2012,600,LV,38,36,2,C,0,2,38,36,2
Rasmussen Reports/Pulse Opinion Research, 6/24/2012,3500,LV,44,39,5,C+,-1.49,2.3,43.26,39.74,3.51
Bloomberg, 6/18/2012,734,LV,41,48,-7,C,0,2,41,48,-7
Rasmussen Reports/Pulse Opinion Research, 6/17/2012,3500,LV,45,38,7,C+,-1.49,2.3,44.26,38.74,5.51
Pew Research Center, 6/17/2012,1563,RV,43,47,-4,B-,0.63,2.7,43.31,46.69,-3.37
Ipsos, 6/11/2012,848,RV,44,47,-3,B+,0.6,3.3,44.3,46.7,-2.4
Rasmussen Reports/Pulse Opinion Research, 6/10/2012,3500,LV,45,39,6,C+,-1.49,2.3,44.26,39.74,4.51
Rasmussen Reports/Pulse Opinion Research, 6/3/2012,3500,LV,44,37,7,C+,-1.49,2.3,43.26,37.74,5.51
CNN/Opinion Research Corp., 5/31/2012,895,RV,45,48,-3,B+,0.06,3.3,45.03,47.97,-2.94
Rasmussen Reports/Pulse Opinion Research, 5/27/2012,3500,LV,42,39,3,C+,-1.49,2.3,41.26,39.74,1.51
Rasmussen Reports/Pulse Opinion Research, 5/20/2012,3500,LV,43,39,4,C+,-1.49,2.3,42.26,39.74,2.51
Gallup, 5/13/2012,1012,A,50,44,6,B,-0.9,3,49.55,44.45,5.1
Rasmussen Reports/Pulse Opinion Research, 5/12/2012,3500,LV,45,38,7,C+,-1.49,2.3,44.26,38.74,5.51
Ipsos, 5/7/2012,959,RV,44,46,-2,B+,0.6,3.3,44.3,45.7,-1.4
Rasmussen Reports/Pulse Opinion Research, 5/6/2012,3500,LV,44,41,3,C+,-1.49,2.3,43.26,41.74,1.51
George Washington University (Battleground), 5/3/2012,1000,LV,45,43,2,B,-0.98,3,44.51,43.49,1.02
Rasmussen Reports/Pulse Opinion Research, 4/29/2012,3500,LV,43,40,3,C+,-1.49,2.3,42.26,40.74,1.51
Rasmussen Reports/Pulse Opinion Research, 4/22/2012,3500,LV,43,40,3,C+,-1.49,2.3,42.26,40.74,1.51
Quinnipiac University, 4/17/2012,2577,RV,39,40,-1,A-,0.07,3.7,39.03,39.97,-0.93
Ipsos, 4/15/2012,891,RV,41,42,-1,B+,0.6,3.3,41.3,41.7,-0.4
Rasmussen Reports/Pulse Opinion Research, 4/15/2012,3500,LV,46,36,10,C+,-1.49,2.3,45.26,36.74,8.51
Rasmussen Reports/Pulse Opinion Research, 4/8/2012,3500,LV,45,40,5,C+,-1.49,2.3,44.26,40.74,3.51
Rasmussen Reports/Pulse Opinion Research, 4/1/2012,3500,LV,45,39,6,C+,-1.49,2.3,44.26,39.74,4.51
Rasmussen Reports/Pulse Opinion Research, 3/25/2012,3500,LV,43,38,5,C+,-1.49,2.3,42.26,38.74,3.51
Marist College, 3/22/2012,846,RV,47,43,4,A,-0.46,4,46.77,43.23,3.54
Rasmussen Reports/Pulse Opinion Research, 3/18/2012,3500,LV,44,40,4,C+,-1.49,2.3,43.26,40.74,2.51
Bloomberg, 3/11/2012,746,LV,46,44,2,C,0,2,46,44,2
Ipsos, 3/11/2012,937,RV,43,47,-4,B+,0.6,3.3,43.3,46.7,-3.4
Rasmussen Reports/Pulse Opinion Research, 3/11/2012,3500,LV,44,38,6,C+,-1.49,2.3,43.26,38.74,4.51
Rasmussen Reports/Pulse Opinion Research, 3/4/2012,3500,LV,44,41,3,C+,-1.49,2.3,43.26,41.74,1.51
Rasmussen Reports/Pulse Opinion Research, 2/26/2012,3500,LV,43,39,4,C+,-1.49,2.3,42.26,39.74,2.51
George Washington University (Battleground), 2/22/2012,1000,LV,45,46,-1,B,-0.98,3,44.51,46.49,-1.98
Quinnipiac University, 2/20/2012,2605,RV,40,38,2,A-,0.07,3.7,40.03,37.97,2.07
Gallup, 2/19/2012,898,RV,47,47,0,B,-0.9,3,46.55,47.45,-0.9
Rasmussen Reports/Pulse Opinion Research, 2/19/2012,3500,LV,42,41,1,C+,-1.49,2.3,41.26,41.74,-0.49
Rasmussen Reports/Pulse Opinion Research, 2/12/2012,3500,LV,43,41,2,C+,-1.49,2.3,42.26,41.74,0.51
Ipsos, 2/6/2012,881,RV,44,46,-2,B+,0.6,3.3,44.3,45.7,-1.4
Rasmussen Reports/Pulse Opinion Research, 2/5/2012,3500,LV,43,41,2,C+,-1.49,2.3,42.26,41.74,0.51
Rasmussen Reports/Pulse Opinion Research, 1/29/2012,3500,LV,40,41,-1,C+,-1.49,2.3,39.26,41.74,-2.49
Rasmussen Reports/Pulse Opinion Research, 1/22/2012,3500,LV,42,39,3,C+,-1.49,2.3,41.26,39.74,1.51
Rasmussen Reports/Pulse Opinion Research, 1/15/2012,3500,LV,44,38,6,C+,-1.49,2.3,43.26,38.74,4.51
Ipsos, 1/9/2012,896,RV,44,48,-4,B+,0.6,3.3,44.3,47.7,-3.4
Rasmussen Reports/Pulse Opinion Research, 1/8/2012,4000,LV,44,38,6,C+,-1.49,2.3,43.26,38.74,4.51
Rasmussen Reports/Pulse Opinion Research, 12/30/2012,3000,LV,43,38,5,C+,-1.49,2.3,42.26,38.74,3.51
Rasmussen Reports/Pulse Opinion Research, 12/22/2012,3500,LV,43,40,3,C+,-1.49,2.3,42.26,40.74,1.51
Rasmussen Reports/Pulse Opinion Research, 12/18/2012,3500,LV,43,40,3,C+,-1.49,2.3,42.26,40.74,1.51
Ipsos, 12/12/2012,921,RV,42,48,-6,B+,0.6,3.3,42.3,47.7,-5.4
Rasmussen Reports/Pulse Opinion Research, 12/11/2012,3500,LV,42,39,3,C+,-1.49,2.3,41.26,39.74,1.51
Rasmussen Reports/Pulse Opinion Research, 12/4/2012,3500,LV,43,38,5,C+,-1.49,2.3,42.26,38.74,3.51
Rasmussen Reports/Pulse Opinion Research, 11/27/2012,2000,LV,43,38,5,C+,-1.49,2.3,42.26,38.74,3.51
Quinnipiac University, 11/20/2012,2552,RV,36,40,-4,A-,0.07,3.7,36.03,39.97,-3.93
Rasmussen Reports/Pulse Opinion Research, 11/20/2012,3500,LV,41,40,1,C+,-1.49,2.3,40.26,40.74,-0.49
Rasmussen Reports/Pulse Opinion Research, 11/13/2012,3500,LV,41,41,0,C+,-1.49,2.3,40.26,41.74,-1.49
George Washington University (Battleground), 11/9/2012,1000,LV,43,44,-1,B,-0.98,3,42.51,44.49,-1.98
Rasmussen Reports/Pulse Opinion Research, 11/6/2012,3500,LV,44,37,7,C+,-1.49,2.3,43.26,37.74,5.51
Ipsos, 11/3/2012,937,RV,43,48,-5,B+,0.6,3.3,43.3,47.7,-4.4
Quinnipiac University, 10/31/2012,2294,RV,34,42,-8,A-,0.07,3.7,34.03,41.97,-7.93
Rasmussen Reports/Pulse Opinion Research, 10/30/2012,3500,LV,43,40,3,C+,-1.49,2.3,42.26,40.74,1.51
Rasmussen Reports/Pulse Opinion Research, 10/23/2012,3500,LV,44,36,8,C+,-1.49,2.3,43.26,36.74,6.51
Rasmussen Reports/Pulse Opinion Research, 10/16/2012,3500,LV,42,39,3,C+,-1.49,2.3,41.26,39.74,1.51
Ipsos, 10/10/2012,934,RV,40,48,-8,B+,0.6,3.3,40.3,47.7,-7.4
Rasmussen Reports/Pulse Opinion Research, 10/9/2012,3500,LV,43,38,5,C+,-1.49,2.3,42.26,38.74,3.51
Quinnipiac University, 10/3/2012,2118,RV,39,39,0,A-,0.07,3.7,39.03,38.97,0.07
Rasmussen Reports/Pulse Opinion Research, 10/2/2012,3500,LV,44,38,6,C+,-1.49,2.3,43.26,38.74,4.51
Rasmussen Reports/Pulse Opinion Research, 9/25/2012,3500,LV,42,40,2,C+,-1.49,2.3,41.26,40.74,0.51
Rasmussen Reports/Pulse Opinion Research, 9/18/2012,3500,LV,42,39,3,C+,-1.49,2.3,41.26,39.74,1.51
Rasmussen Reports/Pulse Opinion Research, 9/11/2012,3500,LV,43,38,5,C+,-1.49,2.3,42.26,38.74,3.51
Rasmussen Reports/Pulse Opinion Research, 9/4/2012,3500,LV,44,37,7,C+,-1.49,2.3,43.26,37.74,5.51
George Washington University (Battleground), 9/1/2012,1000,LV,40,41,-1,B,-0.98,3,39.51,41.49,-1.98
Rasmussen Reports/Pulse Opinion Research, 8/28/2012,3500,LV,45,36,9,C+,-1.49,2.3,44.26,36.74,7.51
Quinnipiac University, 8/27/2012,2730,RV,38,38,0,A-,0.07,3.7,38.03,37.97,0.07
Pew Research Center, 8/21/2012,1205,RV,44,48,-4,B-,0.63,2.7,44.31,47.69,-3.37
Rasmussen Reports/Pulse Opinion Research, 8/21/2012,3500,LV,44,38,6,C+,-1.49,2.3,43.26,38.74,4.51
Rasmussen Reports/Pulse Opinion Research, 8/14/2012,3500,LV,44,37,7,C+,-1.49,2.3,43.26,37.74,5.51
Gallup, 8/7/2012,1204,RV,44,51,-7,B,-0.9,3,43.55,51.45,-7.9
Rasmussen Reports/Pulse Opinion Research, 8/7/2012,3500,LV,41,39,2,C+,-1.49,2.3,40.26,39.74,0.51
Rasmussen Reports/Pulse Opinion Research, 7/31/2012,3500,LV,43,39,4,C+,-1.49,2.3,42.26,39.74,2.51
Rasmussen Reports/Pulse Opinion Research, 7/24/2012,3500,LV,44,38,6,C+,-1.49,2.3,43.26,38.74,4.51
Rasmussen Reports/Pulse Opinion Research, 7/17/2012,3500,LV,44,38,6,C+,-1.49,2.3,43.26,38.74,4.51
Rasmussen Reports/Pulse Opinion Research, 7/10/2012,3500,LV,44,38,6,C+,-1.49,2.3,43.26,38.74,4.51
Rasmussen Reports/Pulse Opinion Research, 7/2/2012,3500,LV,43,40,3,C+,-1.49,2.3,42.26,40.74,1.51
Rasmussen Reports/Pulse Opinion Research, 6/26/2012,3500,LV,44,37,7,C+,-1.49,2.3,43.26,37.74,5.51
Rasmussen Reports/Pulse Opinion Research, 6/19/2012,3500,LV,43,37,6,C+,-1.49,2.3,42.26,37.74,4.51
Rasmussen Reports/Pulse Opinion Research, 6/12/2012,4000,LV,43,38,5,C+,-1.49,2.3,42.26,38.74,3.51
Rasmussen Reports/Pulse Opinion Research, 6/5/2012,3500,LV,43,37,6,C+,-1.49,2.3,42.26,37.74,4.51
Rasmussen Reports/Pulse Opinion Research, 5/29/2012,3500,LV,43,37,6,C+,-1.49,2.3,42.26,37.74,4.51
Rasmussen Reports/Pulse Opinion Research, 5/22/2012,3500,LV,42,40,2,C+,-1.49,2.3,41.26,40.74,0.51
Rasmussen Reports/Pulse Opinion Research, 5/15/2012,3500,LV,44,37,7,C+,-1.49,2.3,43.26,37.74,5.51
George Washington University (Battleground), 5/12/2012,1000,LV,42,42,0,B,-0.98,3,41.51,42.49,-0.98
Rasmussen Reports/Pulse Opinion Research, 5/7/2012,3500,LV,41,38,3,C+,-1.49,2.3,40.26,38.74,1.51
CNN/Opinion Research Corp., 5/1/2012,964,RV,46,50,-4,B+,0.06,3.3,46.03,49.97,-3.94
Rasmussen Reports/Pulse Opinion Research, 5/1/2012,3500,LV,42,39,3,C+,-1.49,2.3,41.26,39.74,1.51
Rasmussen Reports/Pulse Opinion Research, 4/24/2012,3500,LV,42,40,2,C+,-1.49,2.3,41.26,40.74,0.51
Rasmussen Reports/Pulse Opinion Research, 4/17/2012,3500,LV,42,39,3,C+,-1.49,2.3,41.26,39.74,1.51
Rasmussen Reports/Pulse Opinion Research, 4/10/2012,3500,LV,44,38,6,C+,-1.49,2.3,43.26,38.74,4.51
Rasmussen Reports/Pulse Opinion Research, 4/3/2012,3500,LV,44,39,5,C+,-1.49,2.3,43.26,39.74,3.51
Quinnipiac University, 3/28/2012,2069,RV,40,37,3,A-,0.07,3.7,40.03,36.97,3.07
Rasmussen Reports/Pulse Opinion Research, 3/27/2012,3500,LV,43,39,4,C+,-1.49,2.3,42.26,39.74,2.51
Rasmussen Reports/Pulse Opinion Research, 3/20/2012,3500,LV,45,37,8,C+,-1.49,2.3,44.26,37.74,6.51
Rasmussen Reports/Pulse Opinion Research, 3/13/2012,3500,LV,46,37,9,C+,-1.49,2.3,45.26,37.74,7.51
Rasmussen Reports/Pulse Opinion Research, 3/6/2012,3500,LV,45,39,6,C+,-1.49,2.3,44.26,39.74,4.51
Rasmussen Reports/Pulse Opinion Research, 2/27/2012,3500,LV,45,39,6,C+,-1.49,2.3,44.26,39.74,4.51
Rasmussen Reports/Pulse Opinion Research, 2/20/2012,3500,LV,46,37,9,C+,-1.49,2.3,45.26,37.74,7.51
Rasmussen Reports/Pulse Opinion Research, 2/13/2012,3500,LV,45,39,6,C+,-1.49,2.3,44.26,39.74,4.51
Rasmussen Reports/Pulse Opinion Research, 2/6/2012,3500,LV,45,38,7,C+,-1.49,2.3,44.26,38.74,5.51
Rasmussen Reports/Pulse Opinion Research, 1/30/2012,3500,LV,45,38,7,C+,-1.49,2.3,44.26,38.74,5.51
Rasmussen Reports/Pulse Opinion Research, 1/23/2012,3500,LV,44,39,5,C+,-1.49,2.3,43.26,39.74,3.51
Rasmussen Reports/Pulse Opinion Research, 1/16/2012,3500,LV,46,38,8,C+,-1.49,2.3,45.26,38.74,6.51
Rasmussen Reports/Pulse Opinion Research, 1/9/2012,3500,LV,47,36,11,C+,-1.49,2.3,46.26,36.74,9.51
Rasmussen Reports/Pulse Opinion Research, 1/2/2012,3000,LV,45,35,10,C+,-1.49,2.3,44.26,35.74,8.51
Rasmussen Reports/Pulse Opinion Research, 12/26/2012,3500,LV,43,38,5,C+,-1.49,2.3,42.26,38.74,3.51
Rasmussen Reports/Pulse Opinion Research, 12/19/2012,3500,LV,45,38,7,C+,-1.49,2.3,44.26,38.74,5.51
Rasmussen Reports/Pulse Opinion Research, 12/12/2012,3500,LV,45,39,6,C+,-1.49,2.3,44.26,39.74,4.51
Rasmussen Reports/Pulse Opinion Research, 12/5/2012,3500,LV,45,40,5,C+,-1.49,2.3,44.26,40.74,3.51
Rasmussen Reports/Pulse Opinion Research, 11/28/2012,2500,LV,46,40,6,C+,-1.49,2.3,45.26,40.74,4.51
Rasmussen Reports/Pulse Opinion Research, 11/21/2012,3500,LV,44,39,5,C+,-1.49,2.3,43.26,39.74,3.51
Rasmussen Reports/Pulse Opinion Research, 11/14/2012,3500,LV,45,40,5,C+,-1.49,2.3,44.26,40.74,3.51
Rasmussen Reports/Pulse Opinion Research, 11/7/2012,3500,LV,49,39,10,C+,-1.49,2.3,48.26,39.74,8.51
NBC News/Wall Street Journal, 11/1/2014,826,LV,48,48,0,A-,0.81,3.7,48.4,47.6,0.81
Rasmussen Reports/Pulse Opinion Research, 11/2/2014,3500,LV,44,41,3,C+,-1.49,2.3,43.26,41.74,1.51
Fox News/Anderson Robbins Research/Shaw & Co. Research, 10/27/2014,734,LV,44,45,-1,A,0.61,4,44.31,44.69,-0.39
CBS News/New York Times, 10/27/2014,624,LV,50,42,8,A-,0.44,3.7,50.22,41.78,8.44
CNN/Opinion Research Corp., 10/26/2014,540,LV,46,47,-1,B+,0.06,3.3,46.03,46.97,-0.94
ABC News/Washington Post, 10/26/2014,758,LV,50,44,6,A+,0.61,4,50.31,43.69,6.61
USA Today/PSRAI, 10/26/2014,697,LV,42,43,-1,C,0,2,42,43,-1
Rasmussen Reports/Pulse Opinion Research, 10/26/2014,3500,LV,43,41,2,C+,-1.49,2.3,42.26,41.74,0.51
GfK Group, 10/20/2014,968,LV,40,32,8,B,0.25,3,40.13,31.87,8.25
Pew Research Center, 10/20/2014,1126,LV,46,47,-1,B-,0.63,2.7,46.31,46.69,-0.37
Rasmussen Reports/Pulse Opinion Research, 10/19/2014,3500,LV,41,41,0,C+,-1.49,2.3,40.26,41.74,-1.49
Fox News/Anderson Robbins Research/Shaw & Co. Research, 10/14/2014,831,LV,45,42,3,A,0.61,4,45.31,41.69,3.61
ABC News/Washington Post, 10/12/2014,629,LV,50,43,7,A+,0.61,4,50.31,42.69,7.61
NBC News/Wall Street Journal, 10/12/2014,666,LV,48,47,1,A-,0.81,3.7,48.4,46.6,1.81
Rasmussen Reports/Pulse Opinion Research, 10/12/2014,3500,LV,40,40,0,C+,-1.49,2.3,39.26,40.74,-1.49
CBS News/New York Times, 10/6/2014,575,LV,49,43,6,A-,0.44,3.7,49.22,42.78,6.44
Rasmussen Reports/Pulse Opinion Research, 10/5/2014,3500,LV,39,41,-2,C+,-1.49,2.3,38.26,41.74,-3.49
Fox News/Anderson Robbins Research/Shaw & Co. Research, 9/30/2014,845,LV,47,40,7,A,0.61,4,47.31,39.69,7.61
Gallup, 9/30/2014,1095,RV,47,46,1,B,-0.9,3,46.55,46.45,0.1
Marist College, 9/29/2014,884,RV,44,45,-1,A,-0.46,4,43.77,45.23,-1.46
CNN/Opinion Research Corp., 9/28/2014,701,LV,45,47,-2,B+,0.06,3.3,45.03,46.97,-1.94
Rasmussen Reports/Pulse Opinion Research, 9/28/2014,3500,LV,39,40,-1,C+,-1.49,2.3,38.26,40.74,-2.49
Rasmussen Reports/Pulse Opinion Research, 9/21/2014,3500,LV,40,40,0,C+,-1.49,2.3,39.26,40.74,-1.49
CBS News/New York Times, 9/15/2014,470,LV,49,42,7,A-,0.44,3.7,49.22,41.78,7.44
Rasmussen Reports/Pulse Opinion Research, 9/14/2014,3500,LV,38,41,-3,C+,-1.49,2.3,37.26,41.74,-4.49
Fox News/Anderson Robbins Research/Shaw & Co. Research, 9/9/2014,833,LV,47,40,7,A,0.61,4,47.31,39.69,7.61
Pew Research Center, 9/9/2014,1150,LV,47,44,3,B-,0.63,2.7,47.31,43.69,3.63
Rasmussen Reports/Pulse Opinion Research, 9/7/2014,3500,LV,41,39,2,C+,-1.49,2.3,40.26,39.74,0.51
George Washington University (Battleground), 8/28/2014,1000,LV,46,42,4,B,-0.98,3,45.51,42.49,3.02
Rasmussen Reports/Pulse Opinion Research, 8/31/2014,3500,LV,41,40,1,C+,-1.49,2.3,40.26,40.74,-0.49
Pew Research Center, 8/24/2014,1171,RV,42,47,-5,B-,0.63,2.7,42.31,46.69,-4.37
Rasmussen Reports/Pulse Opinion Research, 8/24/2014,3500,LV,40,39,1,C+,-1.49,2.3,39.26,39.74,-0.49
Rasmussen Reports/Pulse Opinion Research, 8/17/2014,3500,LV,39,39,0,C+,-1.49,2.3,38.26,39.74,-1.49
Fox News/Anderson Robbins Research/Shaw & Co. Research, 8/12/2014,1001,RV,39,46,-7,A,0.61,4,39.31,45.69,-6.39
Marist College, 8/7/2014,806,RV,43,38,5,A,-0.46,4,42.77,38.23,4.54
Rasmussen Reports/Pulse Opinion Research, 8/10/2014,3500,LV,40,39,1,C+,-1.49,2.3,39.26,39.74,-0.49
Rasmussen Reports/Pulse Opinion Research, 8/3/2014,3500,LV,42,38,4,C+,-1.49,2.3,41.26,38.74,2.51
Fox News/Anderson Robbins Research/Shaw & Co. Research, 7/22/2014,1057,RV,41,43,-2,A,0.61,4,41.31,42.69,-1.39
Rasmussen Reports/Pulse Opinion Research, 7/27/2014,3500,LV,39,41,-2,C+,-1.49,2.3,38.26,41.74,-3.49
CNN/Opinion Research Corp., 7/20/2014,899,RV,44,48,-4,B+,0.06,3.3,44.03,47.97,-3.94
Pew Research Center, 7/14/2014,1420,RV,45,47,-2,B-,0.63,2.7,45.31,46.69,-1.37
Rasmussen Reports/Pulse Opinion Research, 7/20/2014,3500,LV,39,39,0,C+,-1.49,2.3,38.26,39.74,-1.49
