Pollster,Date,Approve,Disapprove,Gap,President,538 Grade,Mean-Reverted Bias,Grade,Adjusted Approve,Adjusted Disapprove,Adjusted Gap
NBC News/Wall Street Journal, 12/9/2015,43,51,-8,Obama,A-,0.80923077,3.7,42.59538462,51.40461539,-8.80923077
Ipsos, 12/9/2015,41,53,-12,Obama,B+,0.5955,3.3,40.70225,53.29775,-12.5955
YouGov, 12/8/2015,42,56,-14,Obama,B,0.26403361,3,41.8679832,56.13201681,-14.26403361
CBS News/New York Times, 12/8/2015,44,48,-4,Obama,A-,0.43547945,3.7,43.78226028,48.21773973,-4.43547945
Suffolk University, 12/6/2015,44,50,-6,Obama,B+,0.59554054,3.3,43.70222973,50.29777027,-6.59554054
Ipsos, 12/2/2015,44,50,-6,Obama,B+,0.5955,3.3,43.70225,50.29775,-6.5955
CNN/Opinion Research Corp., 12/1/2015,45,53,-8,Obama,B+,0.0607,3.3,44.96965,53.03035,-8.0607
Quinnipiac University, 11/30/2015,44,51,-7,Obama,A-,0.06815029,3.7,43.96592486,51.03407515,-7.06815029
Ipsos, 11/25/2015,42,53,-11,Obama,B+,0.5955,3.3,41.70225,53.29775,-11.5955
CBS News/New York Times, 11/22/2015,42,47,-5,Obama,A-,0.43547945,3.7,41.78226028,47.21773973,-5.43547945
YouGov, 11/23/2015,44,53,-9,Obama,B,0.26403361,3,43.8679832,53.13201681,-9.26403361
Fox News/Anderson Robbins Research/Shaw & Co. Research, 11/19/2015,40,54,-14,Obama,A,0.61413043,4,39.69293479,54.30706522,-14.61413043
ABC News/Washington Post, 11/19/2015,44,53,-9,Obama,A+,0.61341176,4,43.69329412,53.30670588,-9.61341176
Public Policy Polling, 11/17/2015,43,52,-9,Obama,B,0.26406832,3,42.86796584,52.13203416,-9.26406832
Ipsos, 11/18/2015,42,51,-9,Obama,B+,0.5955,3.3,41.70225,51.29775,-9.5955
Bloomberg, 11/16/2015,44,51,-7,Obama,C,0,2,44,51,-7
Ipsos, 11/11/2015,43,50,-7,Obama,B+,0.5955,3.3,42.70225,50.29775,-7.5955
CBS News/New York Times, 11/10/2015,45,48,-3,Obama,A-,0.43547945,3.7,44.78226028,48.21773973,-3.43547945
YouGov, 11/9/2015,45,53,-8,Obama,B,0.26403361,3,44.8679832,53.13201681,-8.26403361
Fox News/Anderson Robbins Research/Shaw & Co. Research, 11/3/2015,45,50,-5,Obama,A,0.61413043,4,44.69293479,50.30706522,-5.61413043
Ipsos, 11/4/2015,42,52,-10,Obama,B+,0.5955,3.3,41.70225,52.29775,-10.5955
Marist College, 11/4/2015,48,48,0,Obama,A,-0.45775194,4,48.22887597,47.77112403,0.45775194
Quinnipiac University, 11/2/2015,42,54,-12,Obama,A-,0.06815029,3.7,41.96592486,54.03407515,-12.06815029
NBC News/Wall Street Journal, 10/29/2015,45,49,-4,Obama,A-,0.80923077,3.7,44.59538462,49.40461539,-4.80923077
Ipsos, 10/28/2015,43,50,-7,Obama,B+,0.5955,3.3,42.70225,50.29775,-7.5955
YouGov, 10/27/2015,42,56,-14,Obama,B,0.26403361,3,41.8679832,56.13201681,-14.26403361
Ipsos, 10/21/2015,42,51,-9,Obama,B+,0.5955,3.3,41.70225,51.29775,-9.5955
GfK Group, 10/19/2015,46,54,-8,Obama,B,0.25490196,3,45.87254902,54.12745098,-8.25490196
NBC News/Wall Street Journal, 10/18/2015,46,49,-3,Obama,A-,0.80923077,3.7,45.59538462,49.40461539,-3.80923077
Monmouth University, 10/18/2015,44,48,-4,Obama,A+,1.4258947,4,43.28705265,48.71294735,-5.4258947
ABC News/Washington Post, 10/18/2015,48,48,0,Obama,A+,0.61341176,4,47.69329412,48.30670588,-0.61341176
CNN/Opinion Research Corp., 10/17/2015,46,51,-5,Obama,B+,0.0607,3.3,45.96965,51.03035,-5.0607
Fox News/Anderson Robbins Research/Shaw & Co. Research, 10/12/2015,42,53,-11,Obama,A,0.61413043,4,41.69293479,53.30706522,-11.61413043
Ipsos, 10/14/2015,45,49,-4,Obama,B+,0.5955,3.3,44.70225,49.29775,-4.5955
YouGov, 10/12/2015,44,53,-9,Obama,B,0.26403361,3,43.8679832,53.13201681,-9.26403361
CBS News/New York Times, 10/8/2015,45,46,-1,Obama,A-,0.43547945,3.7,44.78226028,46.21773973,-1.43547945
Ipsos, 10/7/2015,40,53,-13,Obama,B+,0.5955,3.3,39.70225,53.29775,-13.5955
Public Policy Polling, 10/4/2015,45,50,-5,Obama,B,0.26406832,3,44.86796584,50.13203416,-5.26406832
Ipsos, 9/30/2015,43,49,-6,Obama,B+,0.5955,3.3,42.70225,49.29775,-6.5955
YouGov, 9/29/2015,45,52,-7,Obama,B,0.26403361,3,44.8679832,52.13201681,-7.26403361
Suffolk University, 9/28/2015,47,46,1,Obama,B+,0.59554054,3.3,46.70222973,46.29777027,0.40445946
Pew Research Center, 9/27/2015,46,48,-2,Obama,B-,0.62980392,2.7,45.68509804,48.31490196,-2.62980392
NBC News/Wall Street Journal, 9/24/2015,47,47,0,Obama,A-,0.80923077,3.7,46.59538462,47.40461539,-0.80923077
Fox News/Anderson Robbins Research/Shaw & Co. Research, 9/22/2015,44,50,-6,Obama,A,0.61413043,4,43.69293479,50.30706522,-6.61413043
Ipsos, 9/23/2015,43,51,-8,Obama,B+,0.5955,3.3,42.70225,51.29775,-8.5955
Bloomberg, 9/21/2015,46,47,-1,Obama,C,0,2,46,47,-1
Quinnipiac University, 9/21/2015,44,53,-9,Obama,A-,0.06815029,3.7,43.96592486,53.03407515,-9.06815029
CNN/Opinion Research Corp., 9/19/2015,44,50,-6,Obama,B+,0.0607,3.3,43.96965,50.03035,-6.0607
Ipsos, 9/16/2015,44,49,-5,Obama,B+,0.5955,3.3,43.70225,49.29775,-5.5955
YouGov, 9/15/2015,47,50,-3,Obama,B,0.26403361,3,46.8679832,50.13201681,-3.26403361
National Journal, 9/15/2015,44,47,-3,Obama,A,-0.17857143,4,44.08928572,46.91071429,-2.82142857
ABC News/Washington Post, 9/10/2015,47,49,-2,Obama,A+,0.61341176,4,46.69329412,49.30670588,-2.61341176
Suffolk University, 12/6/2015,46,49,-3,Obama,B+,0.59554054,3.3,45.70222973,49.29777027,-3.59554054
CNN/Opinion Research Corp., 9/8/2015,45,52,-7,Obama,B+,0.0607,3.3,44.96965,52.03035,-7.0607
Ipsos, 9/9/2015,47,48,-1,Obama,B+,0.5955,3.3,46.70225,48.29775,-1.5955
Monmouth University, 9/3/2015,45,51,-6,Obama,A+,1.4258947,4,44.28705265,51.71294735,-7.4258947
Ipsos, 9/2/2015,47,47,0,Obama,B+,0.5955,3.3,46.70225,47.29775,-0.5955
YouGov, 9/1/2015,44,53,-9,Obama,B,0.26403361,3,43.8679832,53.13201681,-9.26403361
Public Policy Polling, 8/30/2015,45,49,-4,Obama,B,0.26406832,3,44.86796584,49.13203416,-4.26406832
Ipsos, 8/26/2015,44,49,-5,Obama,B+,0.5955,3.3,43.70225,49.29775,-5.5955
Quinnipiac University, 8/25/2015,45,53,-8,Obama,A-,0.06815029,3.7,44.96592486,53.03407515,-8.06815029
Ipsos, 8/19/2015,43,52,-9,Obama,B+,0.5955,3.3,42.70225,52.29775,-9.5955
YouGov, 8/17/2015,43,53,-10,Obama,B,0.26403361,3,42.8679832,53.13201681,-10.26403361
CNN/Opinion Research Corp., 8/16/2015,47,51,-4,Obama,B+,0.0607,3.3,46.96965,51.03035,-4.0607
Fox News/Anderson Robbins Research/Shaw & Co. Research, 8/13/2015,42,51,-9,Obama,A,0.61413043,4,41.69293479,51.30706522,-9.61413043
Ipsos, 8/12/2015,45,49,-4,Obama,B+,0.5955,3.3,44.70225,49.29775,-4.5955
Ipsos, 8/5/2015,44,51,-7,Obama,B+,0.5955,3.3,43.70225,51.29775,-7.5955
Fox News/Anderson Robbins Research/Shaw & Co. Research, 8/2/2015,46,46,0,Obama,A,0.61413043,4,45.69293479,46.30706522,-0.61413043
CBS News/New York Times, 8/2/2015,44,47,-3,Obama,A-,0.43547945,3.7,43.78226028,47.21773973,-3.43547945
NBC News/Wall Street Journal, 7/30/2015,45,50,-5,Obama,A-,0.80923077,3.7,44.59538462,50.40461539,-5.80923077
Ipsos, 7/29/2015,44,51,-7,Obama,B+,0.5955,3.3,43.70225,51.29775,-7.5955
Quinnipiac University, 7/28/2015,43,52,-9,Obama,A-,0.06815029,3.7,42.96592486,52.03407515,-9.06815029
Marist College, 7/28/2015,47,47,0,Obama,A,-0.45775194,4,47.22887597,46.77112403,0.45775194
CNN/Opinion Research Corp., 7/25/2015,48,48,0,Obama,B+,0.0607,3.3,47.96965,48.03035,-0.0607
Public Policy Polling, 7/21/2015,45,49,-4,Obama,B,0.26406832,3,44.86796584,49.13203416,-4.26406832
Ipsos, 7/22/2015,41,52,-11,Obama,B+,0.5955,3.3,40.70225,52.29775,-11.5955
YouGov, 7/20/2015,46,50,-4,Obama,B,0.26403361,3,45.8679832,50.13201681,-4.26403361
ABC News/Washington Post, 7/19/2015,45,52,-7,Obama,A+,0.61341176,4,44.69329412,52.30670588,-7.61341176
Pew Research Center, 7/20/2015,48,45,3,Obama,B-,0.62980392,2.7,47.68509804,45.31490196,2.37019608
Fox News/Anderson Robbins Research/Shaw & Co. Research, 7/15/2015,47,48,-1,Obama,A,0.61413043,4,46.69293479,48.30706522,-1.61413043
GfK Group, 7/13/2015,43,55,-12,Obama,B,0.25490196,3,42.87254902,55.12745098,-12.25490196
Ipsos, 7/15/2015,45,49,-4,Obama,B+,0.5955,3.3,44.70225,49.29775,-4.5955
Suffolk University, 7/12/2015,44,46,-2,Obama,B+,0.59554054,3.3,43.70222973,46.29777027,-2.59554054
YouGov, 7/6/2015,43,55,-12,Obama,B,0.26403361,3,42.8679832,55.13201681,-12.26403361
Ipsos, 7/8/2015,45,49,-4,Obama,B+,0.5955,3.3,44.70225,49.29775,-4.5955
Ipsos, 7/1/2015,44,49,-5,Obama,B+,0.5955,3.3,43.70225,49.29775,-5.5955
YouGov, 6/29/2015,45,53,-8,Obama,B,0.26403361,3,44.8679832,53.13201681,-8.26403361
CNN/Opinion Research Corp., 6/28/2015,50,48,2,Obama,B+,0.0607,3.3,49.96965,48.03035,1.9393
Ipsos, 6/24/2015,46,48,-2,Obama,B+,0.5955,3.3,45.70225,48.29775,-2.5955
YouGov, 6/22/2015,44,55,-11,Obama,B,0.26403361,3,43.8679832,55.13201681,-11.26403361
Fox News/Anderson Robbins Research/Shaw & Co. Research, 6/23/2015,44,50,-6,Obama,A,0.61413043,4,43.69293479,50.30706522,-6.61413043
NBC News/Wall Street Journal, 6/18/2015,48,48,0,Obama,A-,0.80923077,3.7,47.59538462,48.40461539,-0.80923077
YouGov, 6/15/2015,42,56,-14,Obama,B,0.26403361,3,41.8679832,56.13201681,-14.26403361
Public Policy Polling, 6/14/2015,45,50,-5,Obama,B,0.26406832,3,44.86796584,50.13203416,-5.26406832
YouGov, 6/8/2015,42,55,-13,Obama,B,0.26403361,3,41.8679832,55.13201681,-13.26403361
Ipsos, 6/10/2015,42,52,-10,Obama,B+,0.5955,3.3,41.70225,52.29775,-10.5955
Ipsos, 6/3/2015,45,48,-3,Obama,B+,0.5955,3.3,44.70225,48.29775,-3.5955
YouGov, 6/1/2015,46,53,-7,Obama,B,0.26403361,3,45.8679832,53.13201681,-7.26403361
Fox News/Anderson Robbins Research/Shaw & Co. Research, 6/2/2015,45,48,-3,Obama,A,0.61413043,4,44.69293479,48.30706522,-3.61413043
CNN/Opinion Research Corp., 5/31/2015,45,52,-7,Obama,B+,0.0607,3.3,44.96965,52.03035,-7.0607
ABC News/Washington Post, 5/31/2015,43,53,-10,Obama,A+,0.61341176,4,42.69329412,53.30670588,-10.61341176
CBS News/New York Times, 5/31/2015,42,48,-6,Obama,A-,0.43547945,3.7,41.78226028,48.21773973,-6.43547945
Ipsos, 5/27/2015,42,50,-8,Obama,B+,0.5955,3.3,41.70225,50.29775,-8.5955
YouGov, 5/25/2015,46,53,-7,Obama,B,0.26403361,3,45.8679832,53.13201681,-7.26403361
Quinnipiac University, 5/26/2015,43,50,-7,Obama,A-,0.06815029,3.7,42.96592486,50.03407515,-7.06815029
National Journal, 5/27/2015,46,46,0,Obama,A,-0.17857143,4,46.08928572,45.91071429,0.17857143
Ipsos, 5/20/2015,43,51,-8,Obama,B+,0.5955,3.3,42.70225,51.29775,-8.5955
YouGov, 5/18/2015,45,53,-8,Obama,B,0.26403361,3,44.8679832,53.13201681,-8.26403361
Pew Research Center, 5/18/2015,46,48,-2,Obama,B-,0.62980392,2.7,45.68509804,48.31490196,-2.62980392
Ipsos, 5/18/2015,42,52,-10,Obama,B+,0.5955,3.3,41.70225,52.29775,-10.5955
Fox News/Anderson Robbins Research/Shaw & Co. Research, 5/12/2015,44,51,-7,Obama,A,0.61413043,4,43.69293479,51.30706522,-7.61413043
YouGov, 5/11/2015,47,52,-5,Obama,B,0.26403361,3,46.8679832,52.13201681,-5.26403361
Fox News/Anderson Robbins Research/Shaw & Co. Research, 8/13/2015,42,51,-9,Obama,A,0.61413043,4,41.69293479,51.30706522,-9.61413043
George Washington University (Battleground), 5/6/2015,45,49,-4,Obama,B,-0.97508197,3,45.48754099,48.51245902,-3.02491803
Ipsos, 5/6/2015,44,49,-5,Obama,B+,0.5955,3.3,43.70225,49.29775,-5.5955
YouGov, 5/4/2015,45,53,-8,Obama,B,0.26403361,3,44.8679832,53.13201681,-8.26403361
CBS News/New York Times, 5/3/2015,45,44,1,Obama,A-,0.43547945,3.7,44.78226028,44.21773973,0.56452055
NBC News/Wall Street Journal, 4/30/2015,48,47,1,Obama,A-,0.80923077,3.7,47.59538462,47.40461539,0.19076923
Ipsos, 4/29/2015,44,49,-5,Obama,B+,0.5955,3.3,43.70225,49.29775,-5.5955
YouGov, 4/27/2015,49,49,0,Obama,B,0.26403361,3,48.8679832,49.13201681,-0.26403361
GfK Group, 4/27/2015,45,55,-10,Obama,B,0.25490196,3,44.87254902,55.12745098,-10.25490196
Fox News/Anderson Robbins Research/Shaw & Co. Research, 4/21/2015,42,53,-11,Obama,A,0.61413043,4,41.69293479,53.30706522,-11.61413043
Ipsos, 4/22/2015,45,49,-4,Obama,B+,0.5955,3.3,44.70225,49.29775,-4.5955
YouGov, 4/20/2015,45,52,-7,Obama,B,0.26403361,3,44.8679832,52.13201681,-7.26403361
Quinnipiac University, 4/21/2015,44,49,-5,Obama,A-,0.06815029,3.7,43.96592486,49.03407515,-5.06815029
CNN/Opinion Research Corp., 4/19/2015,48,47,1,Obama,B+,0.0607,3.3,47.96965,47.03035,0.9393
Ipsos, 4/15/2015,41,51,-10,Obama,B+,0.5955,3.3,40.70225,51.29775,-10.5955
YouGov, 4/13/2015,48,51,-3,Obama,B,0.26403361,3,47.8679832,51.13201681,-3.26403361
Suffolk University, 4/13/2015,42,48,-6,Obama,B+,0.59554054,3.3,41.70222973,48.29777027,-6.59554054
Ipsos, 5/6/2015,44,49,-5,Obama,B+,0.5955,3.3,43.70225,49.29775,-5.5955
Bloomberg, 4/8/2015,47,46,1,Obama,C,0,2,47,46,1
YouGov, 4/6/2015,47,50,-3,Obama,B,0.26403361,3,46.8679832,50.13201681,-3.26403361
Ipsos, 4/1/2015,41,53,-12,Obama,B+,0.5955,3.3,40.70225,53.29775,-12.5955
Fox News/Anderson Robbins Research/Shaw & Co. Research, 3/31/2015,45,50,-5,Obama,A,0.61413043,4,44.69293479,50.30706522,-5.61413043
YouGov, 3/30/2015,44,54,-10,Obama,B,0.26403361,3,43.8679832,54.13201681,-10.26403361
Public Policy Polling, 3/31/2015,42,53,-11,Obama,B,0.26406832,3,41.86796584,53.13203416,-11.26406832
Pew Research Center, 3/29/2015,46,47,-1,Obama,B-,0.62980392,2.7,45.68509804,47.31490196,-1.62980392
ABC News/Washington Post, 3/29/2015,46,49,-3,Obama,A+,0.61341176,4,45.69329412,49.30670588,-3.61341176
CBS News/New York Times, 3/24/2015,45,46,-1,Obama,A-,0.43547945,3.7,44.78226028,46.21773973,-1.43547945
Ipsos, 3/24/2015,43,52,-9,Obama,B+,0.5955,3.3,42.70225,52.29775,-9.5955
YouGov, 3/23/2015,47,51,-4,Obama,B,0.26403361,3,46.8679832,51.13201681,-4.26403361
Ipsos, 3/18/2015,44,50,-6,Obama,B+,0.5955,3.3,43.70225,50.29775,-6.5955
YouGov, 3/16/2015,45,52,-7,Obama,B,0.26403361,3,44.8679832,52.13201681,-7.26403361
CNN/Opinion Research Corp., 3/15/2015,46,51,-5,Obama,B+,0.0607,3.3,45.96965,51.03035,-5.0607
Ipsos, 3/10/2015,43,51,-8,Obama,B+,0.5955,3.3,42.70225,51.29775,-8.5955
NBC News/Wall Street Journal, 3/5/2015,46,50,-4,Obama,A-,0.80923077,3.7,45.59538462,50.40461539,-4.80923077
Marist College, 3/4/2015,46,50,-4,Obama,A,-0.45775194,4,46.22887597,49.77112403,-3.54224806
Fox News/Anderson Robbins Research/Shaw & Co. Research, 3/3/2015,42,53,-11,Obama,A,0.61413043,4,41.69293479,53.30706522,-11.61413043
Ipsos, 3/4/2015,41,52,-11,Obama,B+,0.5955,3.3,40.70225,52.29775,-11.5955
YouGov, 3/2/2015,47,51,-4,Obama,B,0.26403361,3,46.8679832,51.13201681,-4.26403361
Quinnipiac University, 3/2/2015,41,52,-11,Obama,A-,0.06815029,3.7,40.96592486,52.03407515,-11.06815029
Ipsos, 2/25/2015,39,55,-16,Obama,B+,0.5955,3.3,38.70225,55.29775,-16.5955
YouGov, 2/23/2015,46,52,-6,Obama,B,0.26403361,3,45.8679832,52.13201681,-6.26403361
Public Policy Polling, 2/22/2015,44,50,-6,Obama,B,0.26406832,3,43.86796584,50.13203416,-6.26406832
Pew Research Center, 2/22/2015,44,52,-8,Obama,B-,0.62980392,2.7,43.68509804,52.31490196,-8.62980392
National Journal, 2/22/2015,46,48,-2,Obama,A,-0.17857143,4,46.08928572,47.91071429,-1.82142857
Ipsos, 2/18/2015,42,51,-9,Obama,B+,0.5955,3.3,41.70225,51.29775,-9.5955
CBS News/New York Times, 2/17/2015,44,46,-2,Obama,A-,0.43547945,3.7,43.78226028,46.21773973,-2.43547945
YouGov, 2/16/2015,45,53,-8,Obama,B,0.26403361,3,44.8679832,53.13201681,-8.26403361
CNN/Opinion Research Corp., 2/15/2015,47,51,-4,Obama,B+,0.0607,3.3,46.96965,51.03035,-4.0607
Ipsos, 2/11/2015,43,50,-7,Obama,B+,0.5955,3.3,42.70225,50.29775,-7.5955
Fox News/Anderson Robbins Research/Shaw & Co. Research, 2/10/2015,45,49,-4,Obama,A,0.61413043,4,44.69293479,49.30706522,-4.61413043
YouGov, 2/9/2015,41,55,-14,Obama,B,0.26403361,3,40.8679832,55.13201681,-14.26403361
Ipsos, 2/4/2015,43,49,-6,Obama,B+,0.5955,3.3,42.70225,49.29775,-6.5955
YouGov, 2/2/2015,42,55,-13,Obama,B,0.26403361,3,41.8679832,55.13201681,-13.26403361
GfK Group, 2/2/2015,47,52,-5,Obama,B,0.25490196,3,46.87254902,52.12745098,-5.25490196
Reason-Rupe/PSRAI, 2/2/2015,50,44,6,Obama,C,0,2,50,44,6
Fox News/Anderson Robbins Research/Shaw & Co. Research, 1/27/2015,45,51,-6,Obama,A,0.61413043,4,44.69293479,51.30706522,-6.61413043
Ipsos, 1/28/2015,46,50,-4,Obama,B+,0.5955,3.3,45.70225,50.29775,-4.5955
YouGov, 1/26/2015,44,54,-10,Obama,B,0.26403361,3,43.8679832,54.13201681,-10.26403361
Public Policy Polling, 1/25/2015,44,49,-5,Obama,B,0.26406832,3,43.86796584,49.13203416,-5.26406832
Suffolk University, 1/24/2015,46,48,-2,Obama,B+,0.59554054,3.3,45.70222973,48.29777027,-2.59554054
Ipsos, 1/21/2015,41,52,-11,Obama,B+,0.5955,3.3,40.70225,52.29775,-11.5955
YouGov, 1/19/2015,45,53,-8,Obama,B,0.26403361,3,44.8679832,53.13201681,-8.26403361
NBC News/Wall Street Journal, 1/17/2015,46,48,-2,Obama,A-,0.80923077,3.7,45.59538462,48.40461539,-2.80923077
ABC News/Washington Post, 1/15/2015,47,48,-1,Obama,A+,0.61341176,4,46.69329412,48.30670588,-1.61341176
Ipsos, 1/14/2015,37,55,-18,Obama,B+,0.5955,3.3,36.70225,55.29775,-18.5955
Fox News/Anderson Robbins Research/Shaw & Co. Research, 1/13/2015,42,52,-10,Obama,A,0.61413043,4,41.69293479,52.30706522,-10.61413043
CBS News/New York Times, 1/12/2015,46,46,0,Obama,A-,0.43547945,3.7,45.78226028,46.21773973,-0.43547945
Pew Research Center, 1/11/2015,47,48,-1,Obama,B-,0.62980392,2.7,46.68509804,48.31490196,-1.62980392
Ipsos, 1/11/2015,38,54,-16,Obama,B+,0.5955,3.3,37.70225,54.29775,-16.5955
YouGov, 1/5/2015,44,54,-10,Obama,B,0.26403361,3,43.8679832,54.13201681,-10.26403361
Ipsos, 1/4/2015,39,55,-16,Obama,B+,0.5955,3.3,38.70225,55.29775,-16.5955
YouGov, 12/29/2014,45,53,-8,Obama,B,0.26403361,3,44.8679832,53.13201681,-8.26403361
Ipsos, 12/28/2014,41,53,-12,Obama,B+,0.5955,3.3,40.70225,53.29775,-12.5955
YouGov, 12/22/2014,41,56,-15,Obama,B,0.26403361,3,40.8679832,56.13201681,-15.26403361
Ipsos, 12/22/2014,37,54,-17,Obama,B+,0.5955,3.3,36.70225,54.29775,-17.5955
CNN/Opinion Research Corp., 12/21/2014,48,50,-2,Obama,B+,0.0607,3.3,47.96965,50.03035,-2.0607
YouGov, 12/15/2014,44,54,-10,Obama,B,0.26403361,3,43.8679832,54.13201681,-10.26403361
ABC News/Washington Post, 12/14/2014,39,57,-18,Obama,A+,0.61341176,4,38.69329412,57.30670588,-18.61341176
NBC News/Wall Street Journal, 12/14/2014,45,50,-5,Obama,A-,0.80923077,3.7,44.59538462,50.40461539,-5.80923077
Ipsos, 12/14/2014,37,54,-17,Obama,B+,0.5955,3.3,36.70225,54.29775,-17.5955
George Washington University (Battleground), 12/11/2014,43,50,-7,Obama,B,-0.97508197,3,43.48754099,49.51245902,-6.02491803
Fox News/Anderson Robbins Research/Shaw & Co. Research, 12/9/2014,42,53,-11,Obama,A,0.61413043,4,41.69293479,53.30706522,-11.61413043
YouGov, 12/8/2014,42,55,-13,Obama,B,0.26403361,3,41.8679832,55.13201681,-13.26403361
Ipsos, 12/9/2014,37,55,-18,Obama,B+,0.5955,3.3,36.70225,55.29775,-18.5955
GfK Group, 12/8/2014,41,58,-17,Obama,B,0.25490196,3,40.87254902,58.12745098,-17.25490196
Marist College, 12/9/2014,43,52,-9,Obama,A,-0.45775194,4,43.22887597,51.77112403,-8.54224806
Pew Research Center, 12/7/2014,42,51,-9,Obama,B-,0.62980392,2.7,41.68509804,51.31490196,-9.62980392
Bloomberg, 12/5/2014,39,52,-13,Obama,C,0,2,39,52,-13
Ipsos, 12/3/2014,40,53,-13,Obama,B+,0.5955,3.3,39.70225,53.29775,-13.5955
YouGov, 12/1/2014,43,55,-12,Obama,B,0.26403361,3,42.8679832,55.13201681,-12.26403361
Ipsos, 11/26/2014,37,56,-19,Obama,B+,0.5955,3.3,36.70225,56.29775,-19.5955
YouGov, 11/24/2014,39,58,-19,Obama,B,0.26403361,3,38.8679832,58.13201681,-19.26403361
CNN/Opinion Research Corp., 11/23/2014,44,53,-9,Obama,B+,0.0607,3.3,43.96965,53.03035,-9.0607
Quinnipiac University, 11/23/2014,39,54,-15,Obama,A-,0.06815029,3.7,38.96592486,54.03407515,-15.06815029
YouGov, 11/17/2014,42,56,-14,Obama,B,0.26403361,3,41.8679832,56.13201681,-14.26403361
NBC News/Wall Street Journal, 11/17/2014,44,50,-6,Obama,A-,0.80923077,3.7,43.59538462,50.40461539,-6.80923077
Ipsos, 11/16/2014,38,55,-17,Obama,B+,0.5955,3.3,37.70225,55.29775,-17.5955
YouGov, 11/10/2014,40,58,-18,Obama,B,0.26403361,3,39.8679832,58.13201681,-18.26403361
Pew Research Center, 11/9/2014,43,52,-9,Obama,B-,0.62980392,2.7,42.68509804,52.31490196,-9.62980392
Ipsos, 11/9/2014,36,57,-21,Obama,B+,0.5955,3.3,35.70225,57.29775,-21.5955
Ipsos, 11/6/2014,37,55,-18,Obama,B+,0.5955,3.3,36.70225,55.29775,-18.5955
YouGov, 11/3/2014,40,57,-17,Obama,B,0.26403361,3,39.8679832,57.13201681,-17.26403361
NBC News/Wall Street Journal, 11/1/2014,42,52,-10,Obama,A-,0.80923077,3.7,41.59538462,52.40461539,-10.80923077
Fox News/Anderson Robbins Research/Shaw & Co. Research, 10/27/2014,41,54,-13,Obama,A,0.61413043,4,40.69293479,54.30706522,-13.61413043
Ipsos, 10/30/2014,39,54,-15,Obama,B+,0.5955,3.3,38.70225,54.29775,-15.5955
YouGov, 10/27/2014,41,57,-16,Obama,B,0.26403361,3,40.8679832,57.13201681,-16.26403361
CBS News/New York Times, 10/27/2014,39,51,-12,Obama,A-,0.43547945,3.7,38.78226028,51.21773973,-12.43547945
CNN/Opinion Research Corp., 10/26/2014,45,53,-8,Obama,B+,0.0607,3.3,44.96965,53.03035,-8.0607
ABC News/Washington Post, 10/26/2014,42,56,-14,Obama,A+,0.61341176,4,41.69329412,56.30670588,-14.61341176
USA Today/PSRAI, 10/26/2014,44,50,-6,Obama,C,0,2,44,50,-6
National Journal, 10/26/2014,41,49,-8,Obama,A,-0.17857143,4,41.08928572,48.91071429,-7.82142857
Ipsos, 10/22/2014,38,56,-18,Obama,B+,0.5955,3.3,37.70225,56.29775,-18.5955
YouGov, 10/20/2014,41,57,-16,Obama,B,0.26403361,3,40.8679832,57.13201681,-16.26403361
GfK Group, 10/20/2014,40,59,-19,Obama,B,0.25490196,3,39.87254902,59.12745098,-19.25490196
Pew Research Center, 10/20/2014,43,51,-8,Obama,B-,0.62980392,2.7,42.68509804,51.31490196,-8.62980392
Fox News/Anderson Robbins Research/Shaw & Co. Research, 10/14/2014,39,53,-14,Obama,A,0.61413043,4,38.69293479,53.30706522,-14.61413043
Ipsos, 10/15/2014,39,53,-14,Obama,B+,0.5955,3.3,38.70225,53.29775,-14.5955
YouGov, 10/13/2014,45,53,-8,Obama,B,0.26403361,3,44.8679832,53.13201681,-8.26403361
ABC News/Washington Post, 10/12/2014,39,57,-18,Obama,A+,0.61341176,4,38.69329412,57.30670588,-18.61341176
NBC News/Wall Street Journal, 10/12/2014,42,52,-10,Obama,A-,0.80923077,3.7,41.59538462,52.40461539,-10.80923077
Ipsos, 10/7/2014,39,53,-14,Obama,B+,0.5955,3.3,38.70225,53.29775,-14.5955
CBS News/New York Times, 10/6/2014,42,50,-8,Obama,A-,0.43547945,3.7,41.78226028,50.21773973,-8.43547945
YouGov, 10/6/2014,44,52,-8,Obama,B,0.26403361,3,43.8679832,52.13201681,-8.26403361
Reason-Rupe/PSRAI, 10/6/2014,43,50,-7,Obama,C,0,2,43,50,-7
Ipsos, 10/2/2014,40,52,-12,Obama,B+,0.5955,3.3,39.70225,52.29775,-12.5955
Fox News/Anderson Robbins Research/Shaw & Co. Research, 9/30/2014,39,53,-14,Obama,A,0.61413043,4,38.69293479,53.30706522,-14.61413043
YouGov, 9/29/2014,43,55,-12,Obama,B,0.26403361,3,42.8679832,55.13201681,-12.26403361
GfK Group, 9/29/2014,42,58,-16,Obama,B,0.25490196,3,41.87254902,58.12745098,-16.25490196
CNN/Opinion Research Corp., 9/28/2014,44,52,-8,Obama,B+,0.0607,3.3,43.96965,52.03035,-8.0607
Gallup, 9/27/2014,42,53,-11,Obama,B,-0.90473684,3,42.45236842,52.54763158,-10.09526316
Marist College, 9/29/2014,46,51,-5,Obama,A,-0.45775194,4,46.22887597,50.77112403,-4.54224806
