1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
614,CT,Connecticut,5,H2CT05131,(I),Elizabeth,Esty,Esty; Elizabeth,,D,*,,,,163499,52.90%,,,179252,57.99%,W,"* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic and Republican conventions for candidates for the U.S. House of Representatives were held on May 9, 2016.  An asterisk denotes the party’s endorsed candidate."
615,CT,Connecticut,5,H2CT05131,(I),Elizabeth,Esty,Esty; Elizabeth,,WF,,,,,15753,5.10%,,,179252,57.99%,W,
616,CT,Connecticut,5,H6CT05157,,Clay,Cope,Cope; Clay,,IP,,,,,4901,1.59%,,,129801,42.00%,,
617,CT,Connecticut,5,H6CT05157,,Clay,Cope,Cope; Clay,,R,*,,,,124900,40.41%,,,129801,42.00%,,"* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic and Republican conventions for candidates for the U.S. House of Representatives were held on May 9, 2016.  An asterisk denotes the party’s endorsed candidate."
618,CT,Connecticut,5,H6CT05165,,Bill,Stevens,Stevens; Bill,,R,,,,,,,,,,,,"* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic and Republican conventions for candidates for the U.S. House of Representatives were held on May 9, 2016.  An asterisk denotes the party’s endorsed candidate."
619,CT,Connecticut,5,H0CT05127,,John ,Pistone,Pistone; John ,,R/W,,,,,28,0.01%,,,,,,"* A candidate is endorsed by the party at the party convention.  A primary election is only held if a qualified challenger to the party endorsed candidate receives 15% of the delegate votes on roll call at the convention and files for a primary, or, if after the convention, a challenger files a requisite number of petitions to qualify for primary ballot access.  Otherwise, the party endorsed candidate is the nominee.  The Democratic and Republican conventions for candidates for the U.S. House of Representatives were held on May 9, 2016.  An asterisk denotes the party’s endorsed candidate."
620,CT,Connecticut,5,n/a,,Ann-Marie,Adams,Adams; Ann-Marie,,W,,,,,1,0.00%,,,,,,
621,CT,Connecticut,5,n/a,,,,,District Votes:,,,,,,309082,,,,,,,
622,CT,Connecticut,,n/a,,,,,,,,,,,,,,,,,,
623,CT,Connecticut,H,n/a,,,,,Total State Votes:,,,,,,1575183,,,,,,,
624,,,,n/a,,,,,,,,,,,,,,,,,,
625,DE,Delaware,0,H6DE00206,,Lisa Blunt,Rochester,Rochester; Lisa Blunt,,D,27920,43.77%,,,233554,55.52%,,,,,W,
626,DE,Delaware,0,H6DE01089,,Bryan,Townsend,Townsend; Bryan,,D,15847,24.84%,,,,,,,,,,
627,DE,Delaware,0,H6DE01097,,Sean,Barney,Barney; Sean,,D,12891,20.21%,,,,,,,,,,
628,DE,Delaware,0,H0DE00068,,Micheal C. Sr.,Miller,Miller; Micheal C.; Sr.,,D,3500,5.49%,,,,,,,,,,
629,DE,Delaware,0,H6DE00214,,Scott,Walker,Walker; Scott,,D,3156,4.95%,,,,,,,,,,
630,DE,Delaware,0,H6DE00222,,Elias J.,Weir,Weir; Elias J.,,D,480,0.75%,,,,,,,,,,
631,DE,Delaware,0,n/a,,,,,Party Votes:,D,63794,,,,,,,,,,,
632,DE,Delaware,0,H6DE01071,,Hans,Reigle,Reigle; Hans,,R,Unopposed,,,,172301,40.96%,,,,,,
633,DE,Delaware,0,H6DE00255,,Mark J.,Perri,Perri; Mark J.,,GRE,,,,,8326,1.98%,,,,,,
634,DE,Delaware,0,H2DE00148,,Scott A.,Gesty,Gesty; Scott A.,,LIB,,,,,6436,1.53%,,,,,,
635,DE,Delaware,0,H6DE00214,,Scott,Walker,Walker; Scott,,W,,,,,14,0.00%,,,,,,
636,DE,Delaware,0,H6DE00230,,Robert Nelson III,Franz,Franz; Robert Nelson; III,,W,,,,,4,0.00%,,,,,,
637,DE,Delaware,0,H6DE00263,,Campbell,Smith,Smith; Campbell,,W,,,,,4,0.00%,,,,,,
638,DE,Delaware,0,H6DE00248,,Rachelle Lee,Linney,Linney; Rachelle Lee,,W,,,,,1,0.00%,,,,,,
639,DE,Delaware,0,n/a,,,,,,,,,,,,,,,,,,
640,DE,Delaware,0,n/a,,,,,District Votes:,,63794,,,,420640,,,,,,,
641,DE,Delaware,H,n/a,,,,,Total State Votes:,,63794,,,,420640,,,,,,,
642,,,,n/a,,,,,,,,,,,,,,,,,,
643,,,,n/a,,,,,,,,,,,,,,,,,,
644,DC,District of Columbia,0,H0DC00058,(I),Eleanor Holmes,Norton,Norton; Eleanor Holmes,,D,90801,97.15%,,,265178,88.13%,,,,,W,
645,DC,District of Columbia,0,n/a,,,Scattered,Scattered,,W(D),2664,2.85%,,,,,,,,,,
646,DC,District of Columbia,0,n/a,,,,,Party Votes:,D,93465,,,,,,,,,,,
647,DC,District of Columbia,0,H6DC00162,,Martin,Moulton,Moulton; Martin,,LIB,,,,,18713,6.22%,,,,,,
648,DC,District of Columbia,0,H8DC00143,,Natale (Lino),Stracuzzi,Stracuzzi; Natale (Lino),,DCG,326,80.89%,,,14336,4.76%,,,,,,
649,DC,District of Columbia,0,n/a,,,Scattered,Scattered,,W(DCG),77,19.11%,,,,,,,,,,
650,DC,District of Columbia,0,n/a,,,,,Party Votes:,DCG,403,,,,,,,,,,,
651,DC,District of Columbia,0,n/a,,,Scattered,Scattered,,W(R),564,100.00%,,,,,,,,,,
652,DC,District of Columbia,0,n/a,,,,,Party Votes:,R,564,,,,,,,,,,,
653,DC,District of Columbia,0,n/a,,,Scattered,Scattered,,W,,,,,2679,0.89%,,,,,,
654,DC,District of Columbia,0,n/a,,,,,,,,,,,,,,,,,,
655,DC,District of Columbia,0,n/a,,,,,District Votes:,,94432,,,,300906,,,,,,,
656,DC,District of Columbia,H,n/a,,,,,Total State Votes:,,94432,,,,300906,,,,,,,
657,,,,n/a,,,,,,,,,,,,,,,,,,
658,FL,Florida,,n/a,,,,,,,,,,,,,,,,,,
659,FL,Florida,1,H6FL01119 ,,Matt,Gaetz,Gaetz; Matt,,R,35689,36.12%,,,255107,69.10%,,,,,W,
660,FL,Florida,1,H6FL01184,,Greg,Evers,Evers; Greg,,R,21540,21.80%,,,,,,,,,,
661,FL,Florida,1,H6FL01168,,Cris,Dosev,Dosev; Cris,,R,20610,20.86%,,,,,,,,,,
662,FL,Florida,1,H6FL01218,,Rebekah Johansen,Bydlak,Bydlak; Rebekah Johansen,,R,7689,7.78%,,,,,,,,,,
663,FL,Florida,1,H6FL01150,,James,Zumwalt,Zumwalt; James,,R,7660,7.75%,,,,,,,,,,
664,FL,Florida,1,H6FL01101,,Brian,Frazier,Frazier; Brian,,R,3817,3.86%,,,,,,,,,,
665,FL,Florida,1,H4FL01155 ,,Mark ,Wichern,Wichern; Mark ,,R,1798,1.82%,,,,,,,,,,
666,FL,Florida,1,n/a,,,,,Party Votes:,R,98803,,,,,,,,,,,
667,FL,Florida,1,H6FL01176 ,,Steven ,Specht,Specht; Steven ,,D,Unopposed,,,,114079,30.90%,,,,,,
668,FL,Florida,1,n/a,,,,,District Votes:,,98803,,,,369186,,,,,,,
669,FL,Florida,1,n/a,,,,,,,,,,,,,,,,,,
670,FL,Florida,2,H6FL02208,,Neal,Dunn,Dunn; Neal,,R,33886,41.38%,,,231163,67.32%,,,,,W,
671,FL,Florida,2,H6FL02190,,Mary,Thomas,Thomas; Mary,,R,32178,39.29%,,,,,,,,,,
672,FL,Florida,2,H6FL02224,,Ken,Sukhia,Sukhia; Ken,,R,15826,19.33%,,,,,,,,,,
673,FL,Florida,2,n/a,,,,,Party Votes:,R,81890,,,,,,,,,,,
674,FL,Florida,2,H6FL02257,,Walter,Dartland,Dartland; Walter,,D,30115,50.11%,,,102801,29.94%,,,,,,
675,FL,Florida,2,H6FL02265,,Steve,Crapps,Crapps; Steve,,D,29982,49.89%,,,,,,,,,,
676,FL,Florida,2,n/a,,,,,Party Votes:,D,60097,,,,,,,,,,,
677,FL,Florida,2,H6FL02240 ,,Rob ,Lapham,Lapham; Rob ,,LBF,Unopposed,,,,9395,2.74%,,,,,,
678,FL,Florida,2,H6FL02273,,Antoine Edward ,Roberts,Roberts; Antoine Edward ,,W,,,,,3,0.00%,,,,,,
679,FL,Florida,2,n/a,,,,,District Votes:,,141987,,,,343362,,,,,,,
680,FL,Florida,2,n/a,,,,,,,,,,,,,,,,,,
681,FL,Florida,3,H2FL06109 ,(I),Ted,Yoho,Yoho; Ted,,R,Unopposed,,,,193843,56.56%,,,,,W,
682,FL,Florida,3,H6FL03081,,"Kenneth ""Ken""",McGurn,"McGurn; Kenneth ""Ken""",,D,Unopposed,,,,136338,39.78%,,,,,,
683,FL,Florida,3,H6FL03073 ,,Tom,Wells,Wells; Tom,,NPA,,,,,12519,3.65%,,,,,,
684,FL,Florida,3,n/a,,,,,District Votes:,,,,,,342700,,,,,,,
685,FL,Florida,3,n/a,,,,,,,,,,,,,,,,,,
686,FL,Florida,4,H6FL04105 ,,John ,Rutherford,Rutherford; John ,,R,38784,38.66%,,,287509,70.18%,,,,,W,
687,FL,Florida,4,H6FL04113 ,,Lake,Ray,Ray; Lake,,R,20164,20.10%,,,,,,,,,,
688,FL,Florida,4,H6FL04121 ,,Hans,Tanzler,Tanzler; Hans,,R,19051,18.99%,,,,,,,,,,
689,FL,Florida,4,H6FL04097 ,,Bill,McClure,McClure; Bill,,R,9867,9.84%,,,,,,,,,,
690,FL,Florida,4,H6FL04147,,"Edward ""Ed""",Malin,"Malin; Edward ""Ed""",,R,7895,7.87%,,,,,,,,,,
691,FL,Florida,4,H6FL04154,,Stephen J.,Kaufman,Kaufman; Stephen J.,,R,2419,2.41%,,,,,,,,,,
692,FL,Florida,4,H0FL04033,,Deborah Katz,Pueschel,Pueschel; Deborah Katz,,R,2145,2.14%,,,,,,,,,,
693,FL,Florida,4,n/a,,,,,Party Votes:,R,100325,,,,,,,,,,,
694,FL,Florida,4,H2FL06091 ,,David E.,Bruderly,Bruderly; David E.,,D,Unopposed,,,,113088,27.61%,,,,,,
695,FL,Florida,4,H2FL04138,,Gary L.,Koniz,Koniz; Gary L.,,NPA,,,,,9054,2.21%,,,,,,
696,FL,Florida,4,H6FL04170 ,,Daniel,Murphy,Murphy; Daniel,,W,,,,,11,0.00%,,,,,,
697,FL,Florida,4,n/a,,,,,District Votes:,,100325,,,,409662,,,,,,,
698,FL,Florida,4,n/a,,,,,,,,,,,,,,,,,,
699,FL,Florida,5,H0FL02086 ,,Al ,Lawson,Lawson; Al ,,D,39306,47.59%,,,194549,64.23%,,,,,W,
700,FL,Florida,5,H2FL03056 ,(I),Corrine,Brown,Brown; Corrine,,D,32235,39.03%,,,,,,,,,,
701,FL,Florida,5,H6FL05193 ,,"LaShonda ""L.J.""",Holloway,"Holloway; LaShonda ""L.J.""",,D,11048,13.38%,,,,,,,,,,
702,FL,Florida,5,n/a,,,,,Party Votes:,D,82589,,,,,,,,,,,
703,FL,Florida,5,H4FL05081,,Glo,Smith,Smith; Glo,,R,Unopposed,,,,108325,35.77%,,,,,,
704,FL,Florida,5,n/a,,,,,District Votes:,,82589,,,,302874,,,,,,,
705,FL,Florida,5,n/a,,,,,,,,,,,,,,,,,,
706,FL,Florida,6,H2FL00292 ,(I),Ron,DeSantis,DeSantis; Ron,,R,41311,61.04%,,,213519,58.57%,,,,,W,
707,FL,Florida,6,H6FL06183 ,,Fred,Costello,Costello; Fred,,R,16690,24.66%,,,,,,,,,,
708,FL,Florida,6,H6FL06118 ,,G.G.,Galloway,Galloway; G.G.,,R,9683,14.31%,,,,,,,,,,
709,FL,Florida,6,n/a,,,,,Party Votes:,R,67684,,,,,,,,,,,
710,FL,Florida,6,H6FL06126 ,,William (Bill),McCullough,McCullough; William (Bill),,D,16043,36.61%,,,151051,41.43%,,,,,,
711,FL,Florida,6,H6FL06134 ,,Dwayne L.,Taylor,Taylor; Dwayne L.,,D,12625,28.81%,,,,,,,,,,
712,FL,Florida,6,H6FL06225 ,,Jay ,McGovern,McGovern; Jay ,,D,8388,19.14%,,,,,,,,,,
713,FL,Florida,6,H6FL06159 ,,George,Pappas,Pappas; George,,D,6762,15.43%,,,,,,,,,,
714,FL,Florida,6,n/a,,,,,Party Votes:,D,43818,,,,,,,,,,,
715,FL,Florida,6,n/a,,,,,District Votes:,,111502,,,,364570,,,,,,,
716,FL,Florida,6,n/a,,,,,,,,,,,,,,,,,,
717,FL,Florida,7,H6FL07140 ,,Stephanie,Murphy,Murphy; Stephanie,,D,Unopposed,,,,182039,51.47%,,,,,W,
718,FL,Florida,7,H2FL08055 ,(I),John ,Mica,Mica; John ,,R,38528,77.16%,,,171583,48.52%,,,,,,
719,FL,Florida,7,H6FL07124 ,,Mark ,Busch,Busch; Mark ,,R,11407,22.84%,,,,,,,,,,
720,FL,Florida,7,n/a,,,,,Party Votes:,R,49935,,,,,,,,,,,
721,FL,Florida,7,H6FL07157,,Mike,Plaskon,Plaskon; Mike,,W,,,,,33,0.01%,,,,,,
722,FL,Florida,7,n/a,,,,,District Votes:,,49935,,,,353655,,,,,,,
723,FL,Florida,7,n/a,,,,,,,,,,,,,,,,,,
724,FL,Florida,8,H8FL15107 ,(I),Bill ,Posey,Posey; Bill ,,R,Unopposed,,,,246483,63.11%,,,,,W,
725,FL,Florida,8,H4FL08077,,Corry,Westbrook,Westbrook; Corry,,D,Unopposed,,,,127127,32.55%,,,,,,
726,FL,Florida,8,H6FL08254,,Bill,Stinson,Stinson; Bill,,NPA,,,,,16951,4.34%,,,,,,
727,FL,Florida,8,n/a,,,,,District Votes:,,,,,,390561,,,,,,,
728,FL,Florida,8,n/a,,,,,,,,,,,,,,,,,,
729,FL,Florida,9,H6FL09179 ,,Darren,Soto,Soto; Darren,,D,14496,36.26%,,,195311,57.48%,,,,,W,
730,FL,Florida,9,H6FL09161 ,,Susannah,Randolph,Randolph; Susannah,,D,11267,28.18%,,,,,,,,,,
731,FL,Florida,9,H6FL09187 ,,Dena,Grayson,Grayson; Dena,,D,11122,27.82%,,,,,,,,,,
732,FL,Florida,9,H6FL09146 ,,Valleri,Crabtree,Crabtree; Valleri,,D,3093,7.74%,,,,,,,,,,
733,FL,Florida,9,n/a,,,,,Party Votes:,D,39978,,,,,,,,,,,
734,FL,Florida,9,H6FL09195 ,,Wayne,Liebnitzky,Liebnitzky; Wayne,,R,22725,67.56%,,,144450,42.52%,,,,,,
735,FL,Florida,9,H6FL09203 ,,Wanda,Rentas,Rentas; Wanda,,R,10911,32.44%,,,,,,,,,,
736,FL,Florida,9,n/a,,,,,Party Votes:,R,33636,,,,,,,,,,,
737,FL,Florida,9,n/a,,,,,District Votes:,,73614,,,,339761,,,,,,,
738,FL,Florida,9,n/a,,,,,,,,,,,,,,,,,,
739,FL,Florida,10,H2FL08063 ,,Val,Demings,Demings; Val,,D,23260,57.12%,,,198491,64.87%,,,,,W,
740,FL,Florida,10,H6FL10136 ,,Geraldine F.,Thompson,Thompson; Geraldine F.,,D,8192,20.12%,,,,,,,,,,
741,FL,Florida,10,H6FL10169 ,,Bob ,Poe,Poe; Bob ,,D,6918,16.99%,,,,,,,,,,
742,FL,Florida,10,H6FL10151,,Fatima Rita,Fahmy,Fahmy; Fatima Rita,,D,2349,5.77%,,,,,,,,,,
743,FL,Florida,10,n/a,,,,,Party Votes:,D,40719,,,,,,,,,,,
744,FL,Florida,10,H6FL05177 ,,Thuy,Lowe,Lowe; Thuy,,R,Unopposed,,,,107498,35.13%,,,,,,
745,FL,Florida,10,n/a,,,,,District Votes:,,40719,,,,305989,,,,,,,
746,FL,Florida,10,n/a,,,,,,,,,,,,,,,,,,
747,FL,Florida,11,H0FL08208 ,(I),Daniel ,Webster,Webster; Daniel ,,R,52876,59.81%,,,258016,65.37%,,,,,W,
748,FL,Florida,11,H6FL11209 ,,Justin ,Grabelle,Grabelle; Justin ,,R,35525,40.19%,,,,,,,,,,
749,FL,Florida,11,n/a,,,,,Party Votes:,R,88401,,,,,,,,,,,
750,FL,Florida,11,H4FL11071 ,,Dave,Koller,Koller; Dave,,D,Unopposed,,,,124713,31.60%,,,,,,
751,FL,Florida,11,H2FL05192,,Bruce Ray,Riggs,Riggs; Bruce Ray,,NPA,,,,,11990,3.04%,,,,,,
752,FL,Florida,11,H4FL11071 ,,Dave,Koller,Koller; Dave,,D,,,,,,,,,,,,
753,FL,Florida,11,n/a,,,,,District Votes:,,88401,,,,394719,,,,,,,
754,FL,Florida,11,n/a,,,,,,,,,,,,,,,,,,
755,FL,Florida,12,H6FL09070 ,(I),Gus Michael ,Bilirakis,Bilirakis; Gus Michael ,,R,Unopposed,,,,253559,68.59%,,,,,W,
756,FL,Florida,12,H6FL12181,,Robert Matthew ,Tager,Tager; Robert Matthew ,,D,Unopposed,,,,116110,31.41%,,,,,,
757,FL,Florida,12,n/a,,,,,District Votes:,,,,,,369669,,,,,,,
758,FL,Florida,12,n/a,,,,,,,,,,,,,,,,,,
759,FL,Florida,13,H6FL13205 ,,Charlie ,Crist,Crist; Charlie ,,D,Unopposed,,,,184693,51.90%,,,,,W,
760,FL,Florida,13,H4FL13101,(I),David W.,Jolly,Jolly; David W.,,R,41005,75.10%,,,171149,48.10%,,,,,,
761,FL,Florida,13,H4FL13135 ,,Mark ,Bircher,Bircher; Mark ,,R,13592,24.90%,,,,,,,,,,
762,FL,Florida,13,n/a,,,,,Party Votes:,R,54597,,,,,,,,,,,
763,FL,Florida,13,n/a,,,,,District Votes:,,54597,,,,355842,,,,,,,
764,FL,Florida,13,n/a,,,,,,,,,,,,,,,,,,
765,FL,Florida,14,H6FL11126,(I),Kathy ,Castor,Castor; Kathy ,,D,Unopposed,,,,195789,61.79%,,,,,W,
766,FL,Florida,14,H6FL14112 ,,Christine,Quinn,Quinn; Christine,,R,Unopposed,,,,121088,38.21%,,,,,,
767,FL,Florida,14,n/a,,,,,District Votes:,,,,,,316877,,,,,,,
768,FL,Florida,14,n/a,,,,,,,,,,,,,,,,,,
769,FL,Florida,15,H0FL12101 ,(I),Dennis A.,Ross,Ross; Dennis A.,,R,Unopposed,,,,182999,57.46%,,,,,W,
770,FL,Florida,15,H6FL15150 ,,Jim,Lange,Lange; Jim,,D,Unopposed,,,,135475,42.54%,,,,,,
771,FL,Florida,15,n/a,,,,,District Votes:,,,,,,318474,,,,,,,
772,FL,Florida,15,n/a,,,,,,,,,,,,,,,,,,
773,FL,Florida,16,H6FL13148 ,(I),Vern,Buchanan,Buchanan; Vern,,R,53706,80.63%,,,230654,59.77%,,,,,W,
774,FL,Florida,16,H6FL16091,,James,Satcher,Satcher; James,,R,12900,19.37%,,,,,,,,,,
775,FL,Florida,16,n/a,,,,,Party Votes:,R,66606,,,,,,,,,,,
776,FL,Florida,16,H2FL13139,,Jan,Schneider,Schneider; Jan,,D,31387,76.24%,,,155262,40.23%,,,,,,
777,FL,Florida,16,H6FL16083 ,,Brent,King,King; Brent,,D,9782,23.76%,,,,,,,,,,
778,FL,Florida,16,n/a,,,,,Party Votes:,D,41169,,,,,,,,,,,
779,FL,Florida,16,n/a,,,,,District Votes:,,107775,,,,385916,,,,,,,
780,FL,Florida,16,n/a,,,,,,,,,,,,,,,,,,
781,FL,Florida,17,H8FL16022 ,(I),Tom,Rooney,Rooney; Tom,,R,Unopposed,,,,209348,61.81%,,,,,W,
782,FL,Florida,17,H4FL19058 ,,April,Freeman,Freeman; April,,D,Unopposed,,,,115974,34.24%,,,,,,
783,FL,Florida,17,H2FL14160,,John W. III,Sawyer,Sawyer; John W.; III,,NPA,,,,,13353,3.94%,,,,,,
784,FL,Florida,17,n/a,,,,,District Votes:,,,,,,338675,,,,,,,
785,FL,Florida,17,n/a,,,,,,,,,,,,,,,,,,
786,FL,Florida,18,H6FL18097 ,,Brian,Mast,Mast; Brian,,R,24099,37.98%,,,201488,53.60%,,,,,W,
787,FL,Florida,18,H6FL18055,,Rebecca ,Negron,Negron; Rebecca ,,R,16242,25.60%,,,,,,,,,,
788,FL,Florida,18,H6FL22081 ,,Mark ,Freeman,Freeman; Mark ,,R,10000,15.76%,,,,,,,,,,
789,FL,Florida,18,H4FL18068 ,,Carl J.,Domino,Domino; Carl J.,,R,7942,12.52%,,,,,,,,,,
790,FL,Florida,18,H6FL18105 ,,Rick,Kozell,Kozell; Rick,,R,4334,6.83%,,,,,,,,,,
791,FL,Florida,18,H6FL18139 ,,Noelle,Nikpour,Nikpour; Noelle,,R,835,1.32%,,,,,,,,,,
792,FL,Florida,18,n/a,,,,,Party Votes:,R,63452,,,,,,,,,,,
793,FL,Florida,18,H6FL18147,,Randy ,Perkins,Perkins; Randy ,,D,27861,60.37%,,,161918,43.07%,,,,,,
794,FL,Florida,18,H6FL18113 ,,Jonathan ,Chane,Chane; Jonathan ,,D,14897,32.28%,,,,,,,,,,
795,FL,Florida,18,H2FL22049,,John (Juan),Xuna,Xuna; John (Juan),,D,3394,7.35%,,,,,,,,,,
796,FL,Florida,18,n/a,,,,,Party Votes:,D,46152,,,,,,,,,,,
797,FL,Florida,18,H6FL18121 ,,Carla,Spalding,Spalding; Carla,,NPA,,,,,12503,3.33%,,,,,,
798,FL,Florida,18,H6FL18196 ,,Marilyn ,Holloman,Holloman; Marilyn ,,W,,,,,9,0.00%,,,,,,
799,FL,Florida,18,n/a,,,,,District Votes:,,109604,,,,375918,,,,,,,
800,FL,Florida,18,n/a,,,,,,,,,,,,,,,,,,
801,FL,Florida,19,H6FL19087 ,,Francis,Rooney,Rooney; Francis,,R,46821,52.73%,,,239225,65.87%,,,,,W,
802,FL,Florida,19,H2FL14152 ,,Chauncey,Goss,Goss; Chauncey,,R,26537,29.89%,,,,,,,,,,
803,FL,Florida,19,H6FL19095 ,,Dan,Bongino,Bongino; Dan,,R,15439,17.39%,,,,,,,,,,
804,FL,Florida,19,n/a,,,,,Party Votes:,R,88797,,,,,,,,,,,
805,FL,Florida,19,H4FL14091 ,,Robert M.,Neeld,Neeld; Robert M.,,D,Unopposed,,,,123812,34.09%,,,,,,
806,FL,Florida,19,H6FL19103,,David,Byron,Byron; David,,W,,,,,109,0.03%,,,,,,
807,FL,Florida,19,H4FL19082,,Timothy John,Rossano,Rossano; Timothy John,,W,,,,,20,0.01%,,,,,,
808,FL,Florida,19,n/a,,,,,District Votes:,,88797,,,,363166,,,,,,,
809,FL,Florida,19,n/a,,,,,,,,,,,,,,,,,,
810,FL,Florida,20,H2FL23021 ,(I),Alcee L.,Hastings,Hastings; Alcee L.,,D,Unopposed,,,,222914,80.31%,,,,,W,
811,FL,Florida,20,H6FL20051,,Gary  ,Stein,Stein; Gary  ,,R,Unopposed,,,,54646,19.69%,,,,,,
812,FL,Florida,20,n/a,,,,,District Votes:,,,,,,277560,,,,,,,
813,FL,Florida,20,n/a,,,,,,,,,,,,,,,,,,
814,FL,Florida,21,H2FL14053 ,(I),Lois ,Frankel ,Frankel; Lois ,,D,Unopposed,,,,210606,62.71%,,,,,W,
815,FL,Florida,21,H4FL22110 ,,Paul ,Spain,Spain; Paul ,,R,Unopposed,,,,118038,35.14%,,,,,,
816,FL,Florida,21,H2FL21066,,"W. Michael ""Mike""",Trout,"Trout; W. Michael ""Mike""",,NPA,,,,,7217,2.15%,,,,,,
817,FL,Florida,21,n/a,,,,,District Votes:,,,,,,335861,,,,,,,
818,FL,Florida,21,n/a,,,,,,,,,,,,,,,,,,
819,FL,Florida,22,H0FL19080 ,(I),Ted,Deutch,Deutch; Ted,,D,Unopposed,,,,199113,58.94%,,,,,W,
820,FL,Florida,22,H4FL22086 ,,Andrea Leigh,McGee,McGee; Andrea Leigh,,R,Unopposed,,,,138737,41.06%,,,,,,
821,FL,Florida,22,n/a,,,,,District Votes:,,,,,,337850,,,,,,,
822,FL,Florida,22,n/a,,,,,,,,,,,,,,,,,,
823,FL,Florida,23,H4FL20023,(I),Debbie Wasserman,Schultz,Schultz; Debbie Wasserman,,D,28809,56.80%,,,183225,56.70%,,,,,W,
824,FL,Florida,23,H6FL23063 ,,Tim,Canova,Canova; Tim,,D,21907,43.20%,,,,,,,,,,
825,FL,Florida,23,n/a,,,,,Party Votes:,D,50716,,,,,,,,,,,
826,FL,Florida,23,H2FL20043,,"Joseph ""Joe""",Kaufman,"Kaufman; Joseph ""Joe""",,R,13412,73.05%,,,130818,40.49%,,,,,,
827,FL,Florida,23,H6FL23071,,"Martin ""Marty""",Feigenbaum,"Feigenbaum; Martin ""Marty""",,R,4948,26.95%,,,,,,,,,,
828,FL,Florida,23,n/a,,,,,Party Votes:,R,18360,,,,,,,,,,,
829,FL,Florida,23,H6FL23089 ,,Don,Endriss,Endriss; Don,,NPA,,,,,5180,1.60%,,,,,,
830,FL,Florida,23,H6FL23097,,Lyle ,Milstein,Milstein; Lyle ,,NPA,,,,,3897,1.21%,,,,,,
831,FL,Florida,23,n/a,,,,,District Votes:,,69076,,,,323120,,,,,,,
832,FL,Florida,23,n/a,,,,,,,,,,,,,,,,,,
833,FL,Florida,24,H0FL17068 ,(I),Frederica,Wilson,Wilson; Frederica,,D,50822,78.37%,,,Unopposed,,,,,,W,
834,FL,Florida,24,H6FL24038 ,,Randal,Hill,Hill; Randal,,D,14023,21.63%,,,,,,,,,,
835,FL,Florida,24,n/a,,,,,Party Votes:,D,64845,,,,,,,,,,,
836,FL,Florida,24,n/a,,,,,District Votes:,,64845,,,,,,,,,,,
837,FL,Florida,24,n/a,,,,,,,,,,,,,,,,,,
838,FL,Florida,25,H2FL25018 ,(I),Mario ,Diaz-Balart,Diaz-Balart; Mario ,,R   ,Unopposed,,,,157921,62.36%,,,,,W,
839,FL,Florida,25,H6FL25027 ,,Alina,Valdes,Valdes; Alina,,D,Unopposed,,,,95319,37.64%,,,,,,
840,FL,Florida,25,n/a,,,,,District Votes:,,,,,,253240,,,,,,,
841,FL,Florida,25,n/a,,,,,,,,,,,,,,,,,,
842,FL,Florida,26,H4FL26038 ,,Carlos,Curbelo,Curbelo; Carlos,,R  ,Unopposed,,,,148547,52.95%,,,,,W,
843,FL,Florida,26,H8FL25015 ,(I),Joe ,Garcia,Garcia; Joe ,,D,14834,51.25%,,,115493,41.17%,,,,,,
844,FL,Florida,26,H8FL00034,,Annette ,Taddeo,Taddeo; Annette ,,D,14108,48.75%,,,,,,,,,,
845,FL,Florida,26,n/a,,,,,Party Votes:,D,28942,,,,,,,,,,,
846,FL,Florida,26,H6FL26033,,Jose ,Peixoto,Peixoto; Jose ,,NPA,,,,,16502,5.88%,,,,,,
847,FL,Florida,26,n/a,,,,,District Votes:,,28942,,,,280542,,,,,,,
848,FL,Florida,26,n/a,,,,,,,,,,,,,,,,,,
849,FL,Florida,27,H0FL18025 ,(I),Ileana,Ros-Lehtinen,Ros-Lehtinen; Ileana,,R,30485,80.48%,,,157917,54.89%,,,,,W,
850,FL,Florida,27,H6FL27049 ,,Maria,Peiro,Peiro; Maria,,R,4450,11.75%,,,,,,,,,,
